<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.97814	0.98285	0.97675	0.97916	96082	0	2
2018.01.03	0.97916	0.98370	0.97751	0.98199	113943	0	2
2018.01.04	0.98199	0.98507	0.98066	0.98164	121502	0	2
2018.01.05	0.98144	0.98279	0.97108	0.97592	131767	0	2
2018.01.08	0.97579	0.97643	0.97138	0.97369	95696	0	1
2018.01.09	0.97369	0.97582	0.97197	0.97499	123362	0	1
2018.01.10	0.97499	0.98576	0.97362	0.98369	176082	0	1
2018.01.11	0.98369	0.99070	0.98274	0.98784	162850	0	1
2018.01.12	0.98784	0.98895	0.98441	0.98630	174375	0	1
2018.01.15	0.98464	0.99072	0.98397	0.98974	175972	0	1
2018.01.16	0.98974	0.99096	0.98585	0.98934	153723	0	1
2018.01.17	0.98934	0.99804	0.98747	0.99094	211137	0	1
2018.01.18	0.99094	0.99762	0.98964	0.99316	176433	0	1
2018.01.19	0.99316	1.00008	0.99229	0.99909	156603	0	1
2018.01.22	0.99769	0.99951	0.99653	0.99729	104022	0	1
2018.01.23	0.99729	0.99883	0.99264	0.99309	137454	0	1
2018.01.24	0.99309	0.99783	0.99264	0.99514	162841	0	1
2018.01.25	0.99514	0.99831	0.99127	0.99265	222223	0	1
2018.01.26	0.99265	1.00097	0.99139	0.99910	194429	0	1
2018.01.29	0.99728	1.00052	0.99599	0.99849	155378	0	1
2018.01.30	0.99849	0.99950	0.99534	0.99659	151988	0	1
2018.01.31	0.99652	0.99964	0.98964	0.99169	197508	0	1
2018.02.01	0.99164	0.99236	0.98419	0.98579	180986	0	1
2018.02.02	0.98579	0.98636	0.98056	0.98424	211674	0	1
2018.02.05	0.98340	0.99053	0.98196	0.98744	212540	0	1
2018.02.06	0.98744	0.98849	0.98394	0.98734	302416	0	1
2018.02.07	0.98734	0.98837	0.98222	0.98284	179947	0	1
2018.02.08	0.98284	0.98544	0.98003	0.98029	239768	0	1
2018.02.09	0.98029	0.99036	0.97829	0.98307	241268	0	1
2018.02.12	0.98334	0.98966	0.98210	0.98849	138350	0	1
2018.02.13	0.98849	0.99106	0.98635	0.98954	136764	0	1
2018.02.14	0.98949	0.99203	0.98280	0.98984	191810	0	1
2018.02.15	0.98984	0.99336	0.98774	0.99109	157751	0	1
2018.02.16	0.99109	0.99519	0.99061	0.99258	150565	0	1
2018.02.19	0.99296	0.99510	0.99257	0.99360	75814	0	1
2018.02.20	0.99354	0.99758	0.99274	0.99679	129404	0	1
2018.02.21	0.99669	0.99900	0.99025	0.99114	141957	0	1
2018.02.22	0.99099	0.99799	0.98919	0.99662	132677	0	1
2018.02.23	0.99662	0.99704	0.98599	0.99019	129557	0	1
2018.02.26	0.99020	0.99649	0.99008	0.99541	116144	0	1
2018.02.27	0.99568	0.99777	0.99343	0.99489	141277	0	1
2018.02.28	0.99489	0.99918	0.99402	0.99559	144054	0	1
2018.03.01	0.99559	0.99698	0.99127	0.99523	210458	0	1
2018.03.02	0.99523	1.00121	0.99443	1.00020	185654	0	1
2018.03.05	0.99891	1.00888	0.99820	1.00644	149299	0	1
2018.03.06	1.00649	1.01156	1.00619	1.00769	176866	0	1
2018.03.07	1.00769	1.01359	1.00590	1.00994	206504	0	1
2018.03.08	1.00994	1.01174	1.00370	1.00398	164133	0	1
2018.03.09	1.00396	1.00817	1.00057	1.00518	172168	0	1
2018.03.12	1.00574	1.01155	1.00490	1.01069	83369	0	1
2018.03.13	1.01067	1.01983	1.01043	1.01703	169492	0	1
2018.03.14	1.01703	1.02428	1.01702	1.01990	168744	0	1
2018.03.15	1.01990	1.02124	1.01674	1.01739	154899	0	1
2018.03.16	1.01739	1.01882	1.00940	1.01010	137573	0	1
2018.03.19	1.00994	1.01101	1.00665	1.00907	141253	0	1
2018.03.20	1.00907	1.00945	1.00378	1.00427	144262	0	1
2018.03.21	1.00427	1.00574	0.99673	1.00144	166793	0	1
2018.03.22	1.00144	1.00335	0.99369	0.99504	135051	0	1
2018.03.23	0.99495	0.99825	0.99092	0.99243	143647	0	1
2018.03.26	0.99246	0.99869	0.99161	0.99476	132537	0	1
2018.03.27	0.99476	0.99615	0.98896	0.98922	115549	0	1
2018.03.28	0.98929	0.99143	0.98734	0.98979	173514	0	1
2018.03.29	0.98979	0.99302	0.98810	0.98899	121437	0	1
2018.03.30	0.98899	0.99250	0.98851	0.99103	89668	0	1
2018.04.02	0.99069	0.99172	0.98734	0.98921	74092	0	1
2018.04.03	0.98921	0.99228	0.98126	0.98390	108857	0	1
2018.04.04	0.98404	0.98756	0.98240	0.98497	95728	0	1
2018.04.05	0.98476	0.98593	0.97895	0.97924	71643	0	1
2018.04.06	0.97935	0.98265	0.97823	0.98198	90493	0	1
2018.04.09	0.98001	0.98281	0.97709	0.97709	72182	0	1
2018.04.10	0.97704	0.98187	0.97704	0.97784	82526	0	1
2018.04.11	0.97758	0.97860	0.97488	0.97499	71943	0	1
2018.04.12	0.97364	0.97821	0.97351	0.97557	76136	0	1
2018.04.13	0.97577	0.98120	0.97569	0.97911	63153	0	1
2018.04.16	0.97836	0.98073	0.97724	0.97739	59442	0	1
2018.04.17	0.97729	0.97827	0.97364	0.97424	65456	0	1
2018.04.18	0.97439	0.98513	0.97436	0.98254	73970	0	1
2018.04.19	0.98298	0.98573	0.97737	0.97917	86503	0	1
2018.04.20	0.97873	0.97957	0.97220	0.97900	78325	0	1
2018.04.23	0.97712	0.97974	0.97600	0.97700	73119	0	1
2018.04.24	0.97670	0.97740	0.97379	0.97569	85701	0	1
2018.04.25	0.97542	0.97569	0.97121	0.97124	84669	0	1
2018.04.26	0.97111	0.97393	0.97075	0.97194	97940	0	1
2018.04.27	0.97187	0.97390	0.97106	0.97260	76130	0	1
2018.04.30	0.97229	0.97315	0.96596	0.96696	76819	0	1
2018.05.01	0.96689	0.96780	0.96196	0.96199	85966	0	1
2018.05.02	0.96199	0.96589	0.96068	0.96503	114140	0	1
2018.05.03	0.96500	0.96896	0.96382	0.96747	113006	0	1
2018.05.04	0.96747	0.97065	0.96639	0.96848	78980	0	1
2018.05.07	0.96864	0.96899	0.96496	0.96755	68924	0	1
2018.05.08	0.96756	0.97065	0.96407	0.96469	103461	0	1
2018.05.09	0.96474	0.96520	0.95693	0.95850	92149	0	1
2018.05.10	0.95850	0.96265	0.95540	0.96124	101446	0	1
2018.05.11	0.96130	0.96565	0.96037	0.96490	71726	0	1
2018.05.14	0.96310	0.96637	0.96255	0.96399	57970	0	1
2018.05.15	0.96313	0.96427	0.96044	0.96174	83237	0	1
2018.05.16	0.96136	0.96353	0.95879	0.96106	86340	0	1
2018.05.17	0.96137	0.96288	0.95977	0.96139	82037	0	1
2018.05.18	0.96162	0.96889	0.96125	0.96755	79160	0	1
2018.05.21	0.96801	0.97156	0.96654	0.96920	69470	0	1
2018.05.22	0.96923	0.97145	0.96807	0.97079	75165	0	1
2018.05.23	0.97097	0.97348	0.96873	0.96959	110675	0	1
2018.05.24	0.97024	0.97726	0.96984	0.97550	103376	0	1
2018.05.25	0.97544	0.98177	0.97512	0.97916	84016	0	1
2018.05.28	0.97977	0.98384	0.97954	0.98004	77161	0	1
2018.05.29	0.98009	0.98096	0.97639	0.97643	109605	0	1
2018.05.30	0.97668	0.98060	0.97058	0.97469	114593	0	1
2018.05.31	0.97464	0.98286	0.97144	0.98039	114426	0	1
2018.06.01	0.98042	0.98204	0.97589	0.97995	97578	0	1
2018.06.04	0.97989	0.98985	0.97922	0.98814	82769	0	1
2018.06.05	0.98824	0.99249	0.98629	0.98742	89663	0	1
2018.06.06	0.98712	0.99341	0.98512	0.99239	93860	0	1
2018.06.07	0.99229	0.99290	0.98834	0.98839	84334	0	1
2018.06.08	0.98859	0.98933	0.98137	0.98215	74503	0	1
2018.06.11	0.98605	0.99109	0.98463	0.98709	56578	0	1
2018.06.12	0.98642	0.99041	0.98528	0.98555	80148	0	1
2018.06.13	0.98547	0.98808	0.98179	0.98369	84003	0	1
2018.06.14	0.98335	0.98408	0.97830	0.97939	90901	0	1
2018.06.15	0.97843	0.98438	0.97817	0.98042	78710	0	1
2018.06.18	0.98083	0.98234	0.97883	0.97969	54249	0	1
2018.06.19	0.97973	0.98084	0.97385	0.98014	99321	0	1
2018.06.20	0.97944	0.98393	0.97924	0.98016	82060	0	1
2018.06.21	0.97957	0.98374	0.97867	0.98140	114594	0	1
2018.06.22	0.98180	0.99320	0.98145	0.98675	95733	0	1
2018.06.25	0.98692	0.98828	0.98434	0.98564	84018	0	1
2018.06.26	0.98494	0.98620	0.98234	0.98329	91591	0	1
2018.06.27	0.98320	0.98405	0.97705	0.97892	105619	0	1
2018.06.28	0.97865	0.98112	0.97334	0.97339	87147	0	1
