<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.76309	0.76355	0.75928	0.76048	230971	0	11
2018.01.03	0.76048	0.76711	0.75888	0.76518	315937	0	11
2018.01.04	0.76513	0.76752	0.76327	0.76645	317025	0	12
2018.01.05	0.76598	0.76795	0.76419	0.76596	312557	0	12
2018.01.08	0.76622	0.76736	0.76421	0.76582	271864	0	12
2018.01.09	0.76582	0.76974	0.76525	0.76872	342596	0	11
2018.01.10	0.76838	0.77012	0.76506	0.76695	429662	0	11
2018.01.11	0.76695	0.77288	0.76621	0.76995	435998	0	11
2018.01.12	0.76995	0.77033	0.76300	0.76555	445885	0	11
2018.01.15	0.76480	0.76878	0.76362	0.76633	364566	0	11
2018.01.16	0.76655	0.76826	0.76275	0.76346	409953	0	11
2018.01.17	0.76333	0.77042	0.76263	0.76937	501766	0	11
2018.01.18	0.76934	0.77079	0.76580	0.76673	469255	0	11
2018.01.19	0.76683	0.77033	0.76522	0.77016	442836	0	11
2018.01.22	0.76812	0.77145	0.76758	0.77075	356046	0	11
2018.01.23	0.77065	0.77147	0.76450	0.76585	413248	0	11
2018.01.24	0.76576	0.76795	0.76126	0.76133	397484	0	11
2018.01.25	0.76151	0.76435	0.75054	0.75472	511785	0	11
2018.01.26	0.75468	0.75952	0.75397	0.75646	546236	0	11
2018.01.29	0.75683	0.75912	0.75551	0.75855	474788	0	11
2018.01.30	0.75845	0.75947	0.75363	0.75490	503363	0	11
2018.01.31	0.75490	0.75768	0.74907	0.74985	521854	0	11
2018.02.01	0.74985	0.75100	0.74301	0.74438	520932	0	11
2018.02.02	0.74448	0.74483	0.73658	0.73700	556408	0	11
2018.02.05	0.73791	0.74421	0.73283	0.73355	554401	0	11
2018.02.06	0.73349	0.74050	0.73008	0.73943	754722	0	11
2018.02.07	0.73985	0.74216	0.73497	0.73787	528406	0	11
2018.02.08	0.73792	0.73986	0.72785	0.72795	636497	0	11
2018.02.09	0.72801	0.73534	0.72657	0.73376	600772	0	12
2018.02.12	0.73428	0.73856	0.73251	0.73811	411209	0	12
2018.02.13	0.73811	0.73984	0.73150	0.73439	424458	0	12
2018.02.14	0.73439	0.73744	0.72755	0.73635	534843	0	12
2018.02.15	0.73607	0.73759	0.72893	0.73244	505773	0	12
2018.02.16	0.73237	0.73524	0.73156	0.73297	473979	0	12
2018.02.19	0.73330	0.73634	0.73251	0.73501	321998	0	12
2018.02.20	0.73501	0.73976	0.73399	0.73785	457489	0	12
2018.02.21	0.73765	0.73951	0.73218	0.73258	484627	0	12
2018.02.22	0.73250	0.73454	0.73116	0.73168	439371	0	12
2018.02.23	0.73129	0.73398	0.72982	0.73369	403227	0	12
2018.02.26	0.73403	0.73689	0.73260	0.73662	393891	0	12
2018.02.27	0.73619	0.73710	0.73100	0.73121	468645	0	12
2018.02.28	0.73117	0.73748	0.73080	0.73300	456581	0	12
2018.03.01	0.73285	0.73482	0.72926	0.73012	562008	0	12
2018.03.02	0.73003	0.73205	0.72417	0.72699	537651	0	12
2018.03.05	0.72611	0.73020	0.72435	0.72960	491868	0	12
2018.03.06	0.72955	0.73632	0.72881	0.73609	439065	0	12
2018.03.07	0.73588	0.73852	0.72901	0.73789	449643	0	12
2018.03.08	0.73786	0.74156	0.73624	0.74036	378664	0	12
2018.03.09	0.74027	0.74672	0.73910	0.74608	339479	0	12
2018.03.12	0.74653	0.74809	0.74483	0.74593	237903	0	12
2018.03.13	0.74593	0.74740	0.74045	0.74101	306710	0	12
2018.03.14	0.74109	0.74828	0.74072	0.74387	297124	0	12
