<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	87.877	88.399	87.630	87.878	82473	0	2
2018.01.03	87.878	88.230	87.694	88.142	111700	0	2
2018.01.04	88.141	88.706	88.077	88.627	113317	0	2
2018.01.05	88.627	89.087	88.439	88.889	120853	0	2
2018.01.08	88.960	89.070	88.474	88.664	94060	0	1
2018.01.09	88.664	88.845	87.865	88.116	140948	0	1
2018.01.10	88.116	88.165	87.211	87.374	177685	0	1
2018.01.11	87.373	88.089	87.285	87.788	160024	0	1
2018.01.12	87.788	87.936	87.391	87.916	170406	0	1
2018.01.15	87.790	88.166	87.668	88.013	162660	0	1
2018.01.16	88.013	88.415	87.718	87.877	164419	0	1
2018.01.17	87.877	88.998	87.833	88.667	191844	0	1
2018.01.18	88.667	88.983	88.399	88.856	179116	0	1
2018.01.19	88.856	89.017	88.369	88.515	167910	0	1
2018.01.22	88.402	88.992	88.371	88.902	125785	0	1
2018.01.23	88.902	89.066	87.907	88.211	159098	0	1
2018.01.24	88.211	88.424	87.871	88.039	185367	0	1
2018.01.25	88.039	88.333	87.705	87.740	237600	0	1
2018.01.26	87.740	88.501	87.740	88.041	212936	0	0
2018.01.29	88.061	88.334	87.924	88.168	178102	0	1
2018.01.30	88.157	88.305	87.459	87.884	185143	0	0
2018.01.31	87.884	88.494	87.630	87.932	211403	0	1
2018.02.01	87.932	88.124	87.490	87.936	192271	0	1
2018.02.02	87.936	88.001	87.226	87.290	225700	0	1
2018.02.05	87.169	87.509	85.893	85.913	255633	0	1
2018.02.06	85.906	86.670	84.988	86.605	383330	0	1
2018.02.07	86.605	86.730	85.415	85.488	220164	0	1
2018.02.08	85.488	85.983	84.515	84.592	280326	0	1
2018.02.09	84.593	85.435	84.006	85.006	303738	0	1
2018.02.12	85.062	85.437	84.754	85.386	160879	0	1
2018.02.13	85.386	85.593	84.285	84.727	176897	0	1
2018.02.14	84.727	84.893	83.320	84.788	249318	0	1
2018.02.15	84.788	84.821	83.868	84.281	217784	0	1
2018.02.16	84.281	84.662	83.906	84.038	189973	0	1
2018.02.19	84.061	84.505	83.999	84.331	113676	0	1
2018.02.20	84.331	84.810	84.207	84.593	163726	0	1
2018.02.21	84.585	84.861	83.990	84.113	190781	0	1
2018.02.22	84.113	84.113	83.516	83.743	165415	0	1
2018.02.23	83.743	83.854	83.270	83.822	138657	0	1
2018.02.26	83.951	84.126	83.599	83.952	148931	0	1
2018.02.27	83.952	84.162	83.576	83.585	161835	0	1
2018.02.28	83.583	83.806	82.780	82.780	172647	0	1
