<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.77530	0.77776	0.77375	0.77654	82985	0	3
2018.01.03	0.77654	0.78173	0.77570	0.77900	94918	0	3
2018.01.04	0.77900	0.78084	0.77742	0.77927	98586	0	3
2018.01.05	0.77927	0.79018	0.77909	0.78528	108124	0	3
2018.01.08	0.78477	0.78909	0.78440	0.78623	81630	0	1
2018.01.09	0.78623	0.79132	0.78497	0.78783	105857	0	1
2018.01.10	0.78783	0.78965	0.77744	0.77954	155839	0	1
2018.01.11	0.77954	0.78166	0.77544	0.77924	136786	0	1
2018.01.12	0.77924	0.77980	0.77424	0.77619	138224	0	1
2018.01.15	0.77614	0.77785	0.77236	0.77459	124206	0	1
2018.01.16	0.77459	0.77803	0.77063	0.77139	119607	0	1
2018.01.17	0.77124	0.77710	0.76718	0.77594	165261	0	1
2018.01.18	0.77594	0.77622	0.76831	0.77204	134848	0	1
2018.01.19	0.77204	0.77296	0.76849	0.77025	125052	0	1
2018.01.22	0.76987	0.77345	0.76916	0.77274	91972	0	1
2018.01.23	0.77274	0.77294	0.76813	0.77094	108452	0	1
2018.01.24	0.77084	0.77169	0.76384	0.76468	137177	0	1
2018.01.25	0.76468	0.76732	0.75480	0.75981	204506	0	1
2018.01.26	0.76009	0.76132	0.75659	0.75701	157566	0	1
2018.01.29	0.75652	0.76067	0.75642	0.75953	129671	0	1
2018.01.30	0.75953	0.76031	0.75506	0.75711	140293	0	1
2018.01.31	0.75711	0.76235	0.75514	0.75584	166033	0	1
2018.02.01	0.75584	0.75847	0.75375	0.75509	146140	0	1
2018.02.02	0.75509	0.75641	0.74870	0.74913	176786	0	1
2018.02.05	0.74923	0.75156	0.74200	0.74284	161762	0	1
2018.02.06	0.74284	0.75127	0.74149	0.74909	240075	0	1
2018.02.07	0.74909	0.75379	0.74663	0.75011	146675	0	1
2018.02.08	0.75011	0.75218	0.74171	0.74251	192735	0	1
2018.02.09	0.74251	0.74714	0.73893	0.74636	193919	0	1
2018.02.12	0.74558	0.74722	0.74336	0.74654	113742	0	1
2018.02.13	0.74644	0.74697	0.73968	0.74224	109309	0	1
2018.02.14	0.74224	0.74412	0.73950	0.74379	143672	0	1
2018.02.15	0.74379	0.74384	0.73652	0.73869	126547	0	1
2018.02.16	0.73869	0.74029	0.73669	0.73833	123305	0	1
2018.02.19	0.73807	0.74101	0.73732	0.73962	42156	0	1
2018.02.20	0.73962	0.74267	0.73866	0.73989	63573	0	1
2018.02.21	0.73989	0.74113	0.73871	0.73904	73656	0	1
2018.02.22	0.73904	0.74099	0.73351	0.73404	86032	0	1
2018.02.23	0.73394	0.74135	0.73324	0.74111	92305	0	1
2018.02.26	0.73940	0.74123	0.73785	0.73945	84486	0	1
2018.02.27	0.73928	0.73999	0.73479	0.73479	110908	0	0
2018.02.28	0.73479	0.73988	0.73441	0.73579	105220	0	1
2018.03.01	0.73579	0.73888	0.73323	0.73323	143083	0	1
2018.03.02	0.73323	0.73464	0.72524	0.72766	127920	0	1
2018.03.05	0.72549	0.72747	0.72239	0.72484	117020	0	1
2018.03.06	0.72474	0.73061	0.72314	0.73044	115168	0	1
2018.03.07	0.73044	0.73180	0.72389	0.73059	134849	0	1
2018.03.08	0.73059	0.73807	0.73008	0.73739	127417	0	1
2018.03.09	0.73724	0.74261	0.73647	0.74253	138740	0	1
2018.03.12	0.74173	0.74249	0.73643	0.73767	68097	0	1
2018.03.13	0.73768	0.73870	0.72686	0.72817	133449	0	1
2018.03.14	0.72813	0.73222	0.72784	0.72889	116432	0	1
2018.03.15	0.72889	0.73044	0.72592	0.72874	124712	0	1
2018.03.16	0.72886	0.72979	0.72526	0.72675	116291	0	1
2018.03.19	0.72722	0.72959	0.72524	0.72708	137280	0	1
2018.03.20	0.72708	0.73185	0.72662	0.73131	120792	0	1
2018.03.21	0.73143	0.73724	0.73020	0.73519	135812	0	1
2018.03.22	0.73519	0.73807	0.73255	0.73362	150052	0	1
2018.03.23	0.73362	0.73981	0.73123	0.73441	141824	0	1
2018.03.26	0.73411	0.73803	0.73060	0.73590	116767	0	1
2018.03.27	0.73590	0.73872	0.73415	0.73461	125935	0	1
2018.03.28	0.73439	0.74191	0.73420	0.74012	133934	0	1
2018.03.29	0.74012	0.74321	0.73884	0.74219	114131	0	1
2018.03.30	0.74218	0.74224	0.73850	0.73952	30627	0	1
2018.04.02	0.73810	0.74094	0.73719	0.73912	61339	0	1
2018.04.03	0.73912	0.75054	0.73772	0.74842	97687	0	1
2018.04.04	0.74831	0.75289	0.74457	0.75224	78679	0	1
2018.04.05	0.75203	0.75598	0.75107	0.75554	67200	0	1
2018.04.06	0.75557	0.75677	0.74972	0.75013	81374	0	1
2018.04.09	0.75010	0.75461	0.74823	0.75293	67604	0	1
2018.04.10	0.75280	0.76006	0.75185	0.75908	64885	0	1
2018.04.11	0.75889	0.76287	0.75795	0.76102	72177	0	1
2018.04.12	0.76125	0.76581	0.76045	0.76424	80749	0	1
2018.04.13	0.76377	0.76677	0.76213	0.76252	61465	0	1
2018.04.16	0.76246	0.76478	0.76078	0.76374	58834	0	1
2018.04.17	0.76344	0.77159	0.76298	0.76971	63456	0	1
2018.04.18	0.76932	0.77037	0.76378	0.76669	79659	0	1
2018.04.19	0.76642	0.76993	0.76607	0.76646	84024	0	1
2018.04.20	0.76630	0.77014	0.76350	0.76359	77657	0	1
2018.04.23	0.76321	0.76529	0.76050	0.76121	85754	0	1
2018.04.24	0.76098	0.76492	0.76094	0.76268	71501	0	1
2018.04.25	0.76262	0.76579	0.76224	0.76527	77461	0	1
2018.04.26	0.76529	0.76873	0.76349	0.76841	86728	0	1
2018.04.27	0.76825	0.77007	0.76709	0.76980	69616	0	1
2018.04.30	0.76892	0.77361	0.76849	0.77139	67007	0	1
2018.05.01	0.77139	0.77598	0.77069	0.77542	75486	0	1
2018.05.02	0.77542	0.77738	0.77479	0.77519	95766	0	1
2018.05.03	0.77519	0.77803	0.77359	0.77634	107632	0	1
2018.05.04	0.77634	0.77934	0.77457	0.77820	69301	0	1
2018.05.07	0.77799	0.78085	0.77704	0.77836	64407	0	1
2018.05.08	0.77836	0.77862	0.77077	0.77324	92342	0	1
2018.05.09	0.77325	0.78315	0.77289	0.78174	81393	0	1
2018.05.10	0.78174	0.78652	0.78028	0.78534	87109	0	1
2018.05.11	0.78514	0.78673	0.78113	0.78166	61633	0	1
2018.05.14	0.78125	0.78330	0.77991	0.78078	48699	0	1
2018.05.15	0.78077	0.78239	0.77604	0.77749	77874	0	1
2018.05.16	0.77736	0.78329	0.77655	0.78271	76947	0	1
2018.05.17	0.78224	0.78551	0.78090	0.78170	75524	0	1
2018.05.18	0.78148	0.78222	0.77166	0.77410	69325	0	1
2018.05.21	0.77386	0.78003	0.77376	0.77954	60443	0	1
2018.05.22	0.77849	0.78183	0.77390	0.77429	67261	0	1
2018.05.23	0.77414	0.77677	0.76681	0.77545	96691	0	1
2018.05.24	0.77525	0.77569	0.76532	0.76952	85800	0	1
2018.05.25	0.76899	0.77031	0.76239	0.76302	86672	0	1
2018.05.28	0.76421	0.76665	0.76287	0.76444	64289	0	1
2018.05.29	0.76414	0.76609	0.75657	0.76129	103068	0	1
2018.05.30	0.76113	0.77097	0.75886	0.76824	105402	0	1
2018.05.31	0.76799	0.76909	0.75732	0.76064	97138	0	1
2018.06.01	0.76044	0.76445	0.76012	0.76254	83179	0	1
2018.06.04	0.76237	0.76523	0.76111	0.76374	68388	0	1
2018.06.05	0.76359	0.76481	0.75677	0.75879	77548	0	1
2018.06.06	0.75864	0.76831	0.75840	0.76179	87522	0	1
2018.06.07	0.76150	0.76204	0.75344	0.75574	82503	0	1
2018.06.08	0.75567	0.76234	0.75334	0.76150	76179	0	1
2018.06.11	0.75708	0.76125	0.75644	0.75909	58183	0	1
2018.06.12	0.75878	0.76031	0.75609	0.75828	74364	0	1
2018.06.13	0.75799	0.75999	0.75706	0.75869	75809	0	1
2018.06.14	0.75868	0.76462	0.75719	0.76049	87288	0	1
2018.06.15	0.76021	0.76091	0.75361	0.75690	77506	0	1
2018.06.18	0.75487	0.75779	0.75160	0.75364	59115	0	1
2018.06.19	0.75365	0.75423	0.74775	0.74816	99357	0	1
2018.06.20	0.74824	0.75090	0.74745	0.74819	72390	0	1
2018.06.21	0.74882	0.75007	0.74405	0.74492	96619	0	1
2018.06.22	0.74474	0.74630	0.73954	0.74434	86410	0	1
2018.06.25	0.74394	0.74475	0.74058	0.74204	66881	0	1
2018.06.26	0.74199	0.74564	0.74139	0.74431	75355	0	1
2018.06.27	0.74443	0.75022	0.74305	0.74701	92367	0	1
2018.06.28	0.74716	0.75346	0.74658	0.75269	96592	0	1
2018.06.29	0.75272	0.75604	0.74805	0.75410	102518	0	1
2018.07.02	0.75236	0.75526	0.75079	0.75319	69551	0	1
2018.07.03	0.75289	0.75660	0.75240	0.75514	68503	0	1
2018.07.04	0.75505	0.75615	0.75358	0.75476	68598	0	1
2018.07.05	0.75474	0.75708	0.75430	0.75584	71891	0	1
2018.07.06	0.75549	0.75765	0.75296	0.75596	85358	0	1
2018.07.09	0.75483	0.75750	0.75357	0.75619	73469	0	1
2018.07.10	0.75529	0.75798	0.75498	0.75614	77581	0	1
2018.07.11	0.75601	0.75900	0.75371	0.75379	109361	0	1
2018.07.12	0.75372	0.76206	0.75285	0.76189	92361	0	1
2018.07.13	0.76152	0.76323	0.76020	0.76100	77433	0	1
2018.07.16	0.76018	0.76209	0.75798	0.75849	63671	0	1
2018.07.17	0.75836	0.75955	0.75530	0.75809	83646	0	1
2018.07.18	0.75799	0.75898	0.75369	0.75844	75759	0	1
2018.07.19	0.75834	0.75894	0.75241	0.75264	105940	0	1
2018.07.20	0.75249	0.75831	0.75128	0.75504	107676	0	1
2018.07.23	0.75407	0.75564	0.75270	0.75270	73242	0	18
2018.07.24	0.75272	0.75584	0.75242	0.75520	76807	0	17
2018.07.25	0.75515	0.76094	0.75439	0.76016	83452	0	18
2018.07.26	0.76000	0.76234	0.75856	0.76008	76871	0	17
2018.07.27	0.76018	0.76393	0.75959	0.76134	63565	0	20
2018.07.30	0.76065	0.76181	0.75778	0.75778	48082	0	15
2018.07.31	0.75787	0.76235	0.75422	0.76101	69847	0	14
2018.08.01	0.76084	0.76506	0.76021	0.76252	62522	0	16
2018.08.02	0.76213	0.76517	0.76161	0.76354	52270	0	13
2018.08.03	0.76262	0.76601	0.76262	0.76523	57082	0	19
2018.08.06	0.76354	0.76669	0.76334	0.76616	38867	0	19
2018.08.07	0.76598	0.76764	0.76134	0.76263	46300	0	17
2018.08.08	0.76222	0.76341	0.75971	0.76264	54429	0	16
2018.08.09	0.76208	0.76437	0.75906	0.76121	57000	0	18
2018.08.10	0.76113	0.76230	0.75683	0.75714	90768	0	30
2018.08.13	0.75384	0.75824	0.75333	0.75604	72875	0	18
2018.08.14	0.75615	0.76135	0.75405	0.76114	61880	0	17
2018.08.15	0.76114	0.76290	0.75443	0.75586	68244	0	17
2018.08.16	0.75575	0.75819	0.75468	0.75744	67159	0	18
2018.08.17	0.75718	0.76241	0.75646	0.76227	62334	0	15
2018.08.20	0.76153	0.76249	0.75933	0.75934	50601	0	23
2018.08.21	0.76004	0.76006	0.75477	0.75508	61206	0	24
2018.08.22	0.75511	0.75656	0.75213	0.75589	59617	0	18
2018.08.23	0.75579	0.75648	0.75219	0.75334	57905	0	12
2018.08.24	0.75335	0.75482	0.75150	0.75474	63812	0	30
2018.08.27	0.75544	0.75712	0.75229	0.75512	57511	0	18
2018.08.28	0.75528	0.75683	0.75393	0.75458	60550	0	18
2018.08.29	0.75461	0.75673	0.75000	0.75173	66073	0	18
2018.08.30	0.75146	0.75203	0.74581	0.74605	66055	0	20
2018.08.31	0.74580	0.74684	0.74042	0.74229	80093	0	30
2018.09.03	0.74045	0.74360	0.73941	0.73981	39943	0	17
2018.09.04	0.73981	0.74113	0.73819	0.73863	64608	0	14
2018.09.05	0.73875	0.73992	0.73528	0.73726	68556	0	11
2018.09.06	0.73709	0.73738	0.73140	0.73406	67027	0	12
2018.09.07	0.73412	0.73674	0.73258	0.73596	73311	0	27
2018.09.10	0.73544	0.74103	0.73474	0.74038	51471	0	11
2018.09.11	0.74066	0.74527	0.73930	0.74385	53449	0	19
2018.09.12	0.74379	0.74769	0.74364	0.74655	60157	0	22
2018.09.13	0.74684	0.74684	0.74193	0.74244	56909	0	16
2018.09.14	0.74253	0.74325	0.74057	0.74185	53228	0	18
