<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.53766	1.54304	1.53215	1.53925	126993	0	2
2018.01.03	1.53925	1.54311	1.53158	1.53298	158222	0	2
2018.01.04	1.53298	1.54158	1.53127	1.53417	165988	0	2
2018.01.05	1.53409	1.53948	1.52888	1.52976	168173	0	2
2018.01.08	1.52842	1.53413	1.52527	1.52596	136520	0	1
2018.01.09	1.52577	1.52741	1.52167	1.52560	173277	0	1
2018.01.10	1.52560	1.53116	1.52307	1.52308	243905	0	1
2018.01.11	1.52308	1.53126	1.51547	1.52449	234031	0	1
2018.01.12	1.52444	1.54466	1.52404	1.54087	279303	0	1
2018.01.15	1.54167	1.54409	1.53520	1.53921	204532	0	1
2018.01.16	1.53921	1.54243	1.53411	1.53934	233618	0	1
2018.01.17	1.53934	1.54101	1.52671	1.52858	288237	0	1
2018.01.18	1.52858	1.53437	1.52577	1.52861	252018	0	1
2018.01.19	1.52861	1.53249	1.52695	1.52799	236696	0	1
2018.01.22	1.53344	1.53347	1.52692	1.52908	176629	0	1
2018.01.23	1.52900	1.53982	1.52848	1.53662	224537	0	1
2018.01.24	1.53662	1.53983	1.52789	1.53900	259940	0	1
2018.01.25	1.53900	1.54951	1.53350	1.54315	370313	0	1
2018.01.26	1.54315	1.54675	1.52948	1.53162	311361	0	0
2018.01.29	1.53304	1.53600	1.52598	1.52921	259729	0	1
2018.01.30	1.52915	1.53791	1.52778	1.53401	266380	0	1
2018.01.31	1.53401	1.54245	1.53136	1.54066	304024	0	1
2018.02.01	1.54066	1.55759	1.53929	1.55540	286198	0	1
2018.02.02	1.55540	1.57310	1.55494	1.57214	317231	0	1
2018.02.05	1.57104	1.57571	1.56342	1.56910	333756	0	1
2018.02.06	1.56914	1.57967	1.56461	1.56524	471967	0	1
2018.02.07	1.56524	1.57465	1.56386	1.56742	295480	0	1
2018.02.08	1.56742	1.57445	1.56483	1.57395	379171	0	1
2018.02.09	1.57379	1.57845	1.56473	1.56822	367504	0	1
2018.02.12	1.56655	1.57122	1.56231	1.56288	241631	0	1
2018.02.13	1.56288	1.57803	1.56070	1.57126	242704	0	1
2018.02.14	1.57118	1.58166	1.56915	1.57055	337022	0	1
2018.02.15	1.57055	1.58045	1.56750	1.57337	292492	0	1
2018.02.16	1.57379	1.57736	1.56761	1.56891	278525	0	1
2018.02.19	1.56779	1.57007	1.56514	1.56755	172871	0	1
2018.02.20	1.56752	1.57003	1.56060	1.56444	262412	0	1
2018.02.21	1.56448	1.57477	1.56144	1.57365	276853	0	1
2018.02.22	1.57365	1.57550	1.56760	1.57141	247583	0	1
2018.02.23	1.57141	1.57592	1.56730	1.56750	202991	0	1
2018.02.26	1.56750	1.57180	1.56185	1.56739	212131	0	1
2018.02.27	1.56772	1.57347	1.56604	1.57033	255365	0	1
2018.02.28	1.57019	1.57165	1.56267	1.57073	246921	0	1
2018.03.01	1.57071	1.58165	1.57002	1.58073	317538	0	1
2018.03.02	1.58073	1.59198	1.57868	1.58641	279299	0	1
2018.03.05	1.58898	1.59368	1.58592	1.58833	251161	0	1
2018.03.06	1.58833	1.59109	1.58232	1.58418	256512	0	1
2018.03.07	1.58408	1.59773	1.58408	1.58556	274048	0	1
2018.03.08	1.58556	1.59409	1.57887	1.57933	262689	0	1
2018.03.09	1.57933	1.58250	1.56750	1.56763	241285	0	1
2018.03.12	1.56805	1.56848	1.56225	1.56640	171148	0	1
2018.03.13	1.56640	1.57924	1.56484	1.57686	231667	0	1
2018.03.14	1.57686	1.57826	1.56387	1.57038	222674	0	1
2018.03.15	1.57036	1.57951	1.56954	1.57757	235550	0	1
2018.03.16	1.57760	1.59375	1.57742	1.59283	200150	0	1
