<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.50328	1.51410	1.50328	1.50851	121444	0	4
2018.01.03	1.50845	1.50931	1.50311	1.50593	129409	0	4
2018.01.04	1.50593	1.51386	1.50516	1.50676	146222	0	4
2018.01.05	1.50676	1.50845	1.48805	1.49231	155125	0	4
2018.01.08	1.49224	1.49364	1.48434	1.48610	131500	0	1
2018.01.09	1.48610	1.48827	1.48177	1.48763	142945	0	1
2018.01.10	1.48758	1.50458	1.48589	1.49873	217424	0	1
2018.01.11	1.49873	1.51300	1.49786	1.50597	203194	0	1
2018.01.12	1.50597	1.52313	1.50590	1.52005	235507	0	1
2018.01.15	1.51903	1.52777	1.51754	1.52400	210112	0	1
2018.01.16	1.52400	1.52673	1.51429	1.52438	213254	0	1
2018.01.17	1.52438	1.53116	1.51075	1.51515	272030	0	1
2018.01.18	1.51515	1.52829	1.51427	1.51953	211232	0	1
2018.01.19	1.51953	1.52908	1.51795	1.52683	202592	0	1
2018.01.22	1.53042	1.53075	1.52366	1.52566	152491	0	1
2018.01.23	1.52566	1.53271	1.52546	1.52721	191580	0	1
2018.01.24	1.52721	1.53331	1.52008	1.53175	230423	0	1
2018.01.25	1.53175	1.54148	1.52664	1.53372	323775	0	1
2018.01.26	1.53372	1.53830	1.52910	1.52939	270935	0	1
2018.01.29	1.52927	1.53450	1.52194	1.52761	219785	0	1
2018.01.30	1.52761	1.53501	1.52635	1.52967	230387	0	1
2018.01.31	1.52967	1.53243	1.52520	1.52844	273931	0	1
2018.02.01	1.52838	1.53581	1.52598	1.53420	264446	0	0
2018.02.02	1.53420	1.54885	1.53323	1.54763	308125	0	1
2018.02.05	1.54598	1.55322	1.54498	1.55025	313448	0	1
2018.02.06	1.55014	1.55695	1.54249	1.54582	404316	0	1
2018.02.07	1.54582	1.55062	1.53947	1.54083	272838	0	1
2018.02.08	1.54081	1.54494	1.53739	1.54313	371288	0	1
2018.02.09	1.54317	1.55610	1.53938	1.54092	342474	0	1
2018.02.12	1.54106	1.54944	1.54041	1.54565	206056	0	1
2018.02.13	1.54565	1.56008	1.54522	1.55504	217431	0	1
2018.02.14	1.55504	1.56032	1.55086	1.55497	282584	0	1
2018.02.15	1.55500	1.56439	1.55493	1.56061	273304	0	1
2018.02.16	1.56061	1.56479	1.55663	1.55750	229821	0	1
2018.02.19	1.55735	1.56001	1.55463	1.55802	166306	0	1
2018.02.20	1.55802	1.56044	1.55354	1.56000	233272	0	1
