<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.16987	1.17276	1.16853	1.17135	87568	0	4
2018.01.03	1.17135	1.17623	1.17003	1.17384	112594	0	4
2018.01.04	1.17384	1.17750	1.17306	1.17450	96549	0	4
2018.01.05	1.17450	1.17783	1.17210	1.17258	95595	0	4
2018.01.08	1.17280	1.17463	1.16831	1.16895	83552	0	1
2018.01.09	1.16866	1.17385	1.16836	1.17250	97749	0	1
2018.01.10	1.17250	1.17472	1.16854	1.16892	134629	0	1
2018.01.11	1.16892	1.17570	1.16858	1.17402	135343	0	1
2018.01.12	1.17402	1.18099	1.17353	1.18050	171907	0	1
2018.01.15	1.18029	1.18327	1.17829	1.18054	166948	0	1
2018.01.16	1.18054	1.18280	1.17601	1.17622	156496	0	1
2018.01.17	1.17622	1.18019	1.17527	1.17583	200563	0	1
2018.01.18	1.17583	1.17747	1.17283	1.17297	152003	0	1
2018.01.19	1.17297	1.17815	1.17111	1.17768	150706	0	1
2018.01.22	1.17902	1.17975	1.17510	1.17884	113679	0	1
2018.01.23	1.17884	1.17964	1.17674	1.17747	129930	0	1
2018.01.24	1.17725	1.17876	1.16846	1.17050	168489	0	1
2018.01.25	1.17050	1.17373	1.16257	1.16625	262137	0	1
2018.01.26	1.16614	1.16906	1.15873	1.16050	185127	0	1
2018.01.29	1.15940	1.16374	1.15407	1.16058	153003	0	1
2018.01.30	1.16060	1.16138	1.15678	1.15870	174703	0	1
2018.01.31	1.15870	1.16370	1.15528	1.15534	210640	0	1
2018.02.01	1.15534	1.16068	1.15474	1.15819	168983	0	1
2018.02.02	1.15819	1.16225	1.15623	1.16032	173461	0	1
2018.02.05	1.15957	1.16394	1.15079	1.15169	187462	0	1
2018.02.06	1.15144	1.16282	1.15117	1.15830	266141	0	1
2018.02.07	1.15830	1.16191	1.15579	1.15668	161825	0	1
2018.02.08	1.15761	1.15943	1.14454	1.14647	220404	0	1
2018.02.09	1.14647	1.15278	1.14494	1.15105	190623	0	1
2018.02.12	1.15105	1.15497	1.14764	1.15406	131138	0	1
2018.02.13	1.15381	1.15619	1.15072	1.15470	132465	0	1
2018.02.14	1.15470	1.15847	1.14977	1.15679	175096	0	1
2018.02.15	1.15679	1.15736	1.15188	1.15284	154717	0	1
2018.02.16	1.15284	1.15462	1.15017	1.15108	144235	0	1
2018.02.19	1.15062	1.15355	1.15031	1.15236	121854	0	1
2018.02.20	1.15211	1.15576	1.15176	1.15456	130797	0	1
2018.02.21	1.15456	1.15601	1.15299	1.15302	145901	0	1
2018.02.22	1.15302	1.15440	1.14981	1.15003	129261	0	1
2018.02.23	1.15003	1.15232	1.14905	1.15116	106821	0	1
2018.02.26	1.15008	1.15548	1.14953	1.15510	102507	0	1
2018.02.27	1.15511	1.15628	1.14833	1.14834	121847	0	1
2018.02.28	1.14821	1.15342	1.14820	1.15154	123291	0	1
2018.03.01	1.15155	1.15603	1.15107	1.15503	150620	0	1
2018.03.02	1.15503	1.15602	1.14955	1.15515	152873	0	1
2018.03.05	1.15455	1.16002	1.15101	1.15912	157959	0	1
2018.03.06	1.15913	1.16735	1.15881	1.16645	128326	0	1
2018.03.07	1.16625	1.17122	1.16308	1.17075	144392	0	1
2018.03.08	1.17076	1.17410	1.16820	1.17067	151914	0	1
2018.03.09	1.17039	1.17262	1.16755	1.17069	147848	0	1
2018.03.12	1.17097	1.17154	1.16731	1.16857	91559	0	1
2018.03.13	1.16857	1.17084	1.16778	1.16918	140372	0	1
2018.03.14	1.16921	1.17121	1.16816	1.16838	138643	0	1
2018.03.15	1.16838	1.17120	1.16774	1.17023	141891	0	1
2018.03.16	1.17023	1.17132	1.16878	1.16996	124974	0	1
2018.03.19	1.17024	1.17440	1.16926	1.17328	134671	0	1
2018.03.20	1.17328	1.17490	1.16953	1.17064	107338	0	1
2018.03.21	1.17064	1.17287	1.16882	1.17078	137282	0	1
2018.03.22	1.17078	1.17242	1.16506	1.16764	140419	0	1
2018.03.23	1.16764	1.17154	1.16535	1.17013	130162	0	1
2018.03.26	1.16891	1.17735	1.16861	1.17636	107442	0	1
2018.03.27	1.17636	1.17735	1.17372	1.17398	121330	0	1
2018.03.28	1.17398	1.18030	1.17351	1.17717	124909	0	1
2018.03.29	1.17717	1.17961	1.17540	1.17621	128142	0	1
2018.03.30	1.17621	1.17680	1.17319	1.17514	55867	0	1
2018.04.02	1.17400	1.17633	1.17334	1.17435	74709	0	1
2018.04.03	1.17398	1.17743	1.17366	1.17611	102773	0	1
