<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.88816	0.89179	0.88587	0.88709	101021	0	2
2018.01.03	0.88709	0.89000	0.88480	0.88865	112921	0	2
2018.01.04	0.88859	0.89243	0.88804	0.89029	106026	0	2
2018.01.05	0.89029	0.89113	0.88645	0.88682	106781	0	2
2018.01.08	0.88671	0.88759	0.88147	0.88177	91366	0	1
2018.01.09	0.88177	0.88341	0.88088	0.88143	98987	0	1
2018.01.10	0.88130	0.88730	0.88129	0.88432	136092	0	1
2018.01.11	0.88432	0.89122	0.88417	0.88844	137714	0	1
2018.01.12	0.88844	0.89275	0.88554	0.88911	173521	0	1
2018.01.15	0.88817	0.89100	0.88724	0.88894	146365	0	1
2018.01.16	0.88894	0.89013	0.88620	0.88880	148100	0	1
2018.01.17	0.88880	0.89079	0.88086	0.88102	190378	0	1
2018.01.18	0.88102	0.88374	0.88015	0.88057	152139	0	1
2018.01.19	0.88049	0.88459	0.88017	0.88261	143586	0	1
2018.01.22	0.88301	0.88337	0.87618	0.87641	115866	0	1
2018.01.23	0.87641	0.87955	0.87615	0.87820	143424	0	1
2018.01.24	0.87804	0.87872	0.86990	0.87094	183061	0	1
2018.01.25	0.87094	0.87849	0.86869	0.87588	277278	0	1
2018.01.26	0.87588	0.87844	0.87216	0.87802	210322	0	0
2018.01.29	0.87885	0.88161	0.87668	0.87958	164809	0	1
2018.01.30	0.87944	0.88330	0.87538	0.87641	159494	0	1
2018.01.31	0.87641	0.88162	0.87419	0.87448	202458	0	1
2018.02.01	0.87434	0.87740	0.87162	0.87648	162904	0	1
2018.02.02	0.87648	0.88249	0.87564	0.88221	168080	0	1
2018.02.05	0.88150	0.88732	0.88110	0.88554	187526	0	1
2018.02.06	0.88554	0.89107	0.88536	0.88695	254257	0	1
2018.02.07	0.88695	0.88978	0.88333	0.88356	159926	0	1
2018.02.08	0.88340	0.88411	0.87321	0.88008	221950	0	1
2018.02.09	0.88008	0.88792	0.87789	0.88619	195902	0	1
2018.02.12	0.88565	0.88919	0.88430	0.88825	110699	0	1
2018.02.13	0.88825	0.89100	0.88574	0.88878	116977	0	1
2018.02.14	0.88878	0.89196	0.88742	0.88913	162023	0	1
2018.02.15	0.88913	0.89017	0.88577	0.88713	154114	0	1
2018.02.16	0.88713	0.88888	0.88406	0.88415	140451	0	1
2018.02.19	0.88459	0.88689	0.88453	0.88577	94138	0	1
2018.02.20	0.88563	0.88697	0.88049	0.88142	129904	0	1
2018.02.21	0.88141	0.88576	0.88055	0.88244	163479	0	1
2018.02.22	0.88239	0.88632	0.88225	0.88308	139362	0	1
2018.02.23	0.88284	0.88380	0.87863	0.88010	122747	0	1
2018.02.26	0.87878	0.88230	0.87716	0.88162	122392	0	1
2018.02.27	0.88163	0.88439	0.87866	0.87925	145909	0	1
2018.02.28	0.87925	0.88666	0.87790	0.88602	146498	0	1
2018.03.01	0.88602	0.89087	0.88369	0.89016	167473	0	1
2018.03.02	0.89016	0.89513	0.88958	0.89236	155938	0	1
2018.03.05	0.89323	0.89501	0.88845	0.89063	151511	0	1
2018.03.06	0.89063	0.89440	0.89042	0.89296	141658	0	1
2018.03.07	0.89296	0.89677	0.89190	0.89280	156176	0	1
2018.03.08	0.89280	0.89567	0.89060	0.89110	144758	0	1
2018.03.09	0.89093	0.89259	0.88745	0.88853	125874	0	1
2018.03.12	0.88870	0.88965	0.88493	0.88701	76081	0	1
2018.03.13	0.88701	0.88861	0.88511	0.88703	97162	0	1
2018.03.14	0.88703	0.88792	0.88446	0.88558	85381	0	1
2018.03.15	0.88558	0.88736	0.88236	0.88280	95251	0	1
2018.03.16	0.88280	0.88389	0.88093	0.88178	84230	0	1
2018.03.19	0.88121	0.88161	0.87449	0.87937	106728	0	1
2018.03.20	0.87937	0.87991	0.87431	0.87447	90221	0	1
2018.03.21	0.87448	0.87582	0.87071	0.87262	122305	0	1
2018.03.22	0.87263	0.87416	0.86683	0.87243	153213	0	1
2018.03.23	0.87254	0.87536	0.87092	0.87410	136687	0	1
2018.03.26	0.87364	0.87624	0.87167	0.87438	114186	0	1
2018.03.27	0.87438	0.87973	0.87419	0.87588	131269	0	1
2018.03.28	0.87588	0.87676	0.87335	0.87420	141332	0	1
2018.03.29	0.87420	0.87747	0.87389	0.87736	118650	0	1
2018.03.30	0.87736	0.87891	0.87618	0.87856	133368	0	1
2018.04.02	0.87755	0.87821	0.87513	0.87581	64373	0	1
2018.04.03	0.87589	0.87636	0.87131	0.87269	104556	0	1
2018.04.04	0.87297	0.87586	0.87149	0.87206	81277	0	1
2018.04.05	0.87202	0.87497	0.87157	0.87391	56903	0	1
