<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	135.220	135.632	134.935	135.365	183730	0	3
2018.01.03	135.371	135.505	134.803	135.151	206156	0	3
2018.01.04	135.150	136.366	135.000	136.050	215473	0	3
2018.01.05	136.054	136.635	135.980	136.025	215048	0	3
2018.01.08	136.058	136.322	135.126	135.307	176055	0	1
2018.01.09	135.315	135.473	134.050	134.428	250389	0	1
2018.01.10	134.428	134.555	133.077	133.105	295955	0	1
2018.01.11	133.105	134.350	133.045	133.816	285344	0	1
2018.01.12	133.816	135.549	133.778	135.499	300251	0	1
2018.01.15	135.437	135.986	135.016	135.522	265800	0	1
2018.01.16	135.522	136.095	134.977	135.379	278558	0	1
2018.01.17	135.379	135.984	135.154	135.580	319210	0	1
2018.01.18	135.590	136.310	135.455	135.920	284647	0	1
2018.01.19	135.920	136.048	135.183	135.421	244481	0	1
2018.01.22	135.575	136.145	135.344	135.990	207174	0	1
2018.01.23	135.990	136.215	135.200	135.637	239909	0	1
2018.01.24	135.640	135.674	134.916	135.515	312972	0	1
2018.01.25	135.511	136.293	135.038	135.583	428801	0	1
2018.01.26	135.583	136.138	134.540	134.946	371520	0	1
2018.01.29	135.028	135.342	134.325	134.882	288535	0	1
2018.01.30	134.884	135.206	134.127	134.889	274873	0	1
2018.01.31	134.886	136.050	134.802	135.519	290390	0	1
2018.02.01	135.519	136.959	135.428	136.811	276390	0	1
2018.02.02	136.811	137.500	136.665	137.219	292165	0	1
2018.02.05	137.007	137.196	134.881	134.884	344618	0	1
2018.02.06	134.899	135.793	133.973	135.573	496380	0	1
2018.02.07	135.573	135.841	133.818	134.033	318187	0	1
2018.02.08	134.050	134.796	132.935	133.173	420258	0	1
2018.02.09	133.173	134.170	131.984	133.306	471786	0	1
2018.02.12	133.295	133.644	132.898	133.517	282029	0	1
2018.02.13	133.517	133.788	132.518	133.138	263815	0	1
2018.02.14	133.138	133.384	131.603	133.181	340184	0	1
2018.02.15	133.240	133.278	132.505	132.693	324931	0	1
2018.02.16	132.694	133.101	131.809	131.895	312030	0	1
2018.02.19	131.813	132.376	131.805	132.227	257260	0	1
2018.02.20	132.231	132.509	132.115	132.395	245696	0	1
2018.02.21	132.400	133.057	132.262	132.357	325707	0	1
2018.02.22	132.359	132.381	131.287	131.597	287378	0	1
2018.02.23	131.602	131.848	130.933	131.407	220589	0	1
2018.02.26	131.667	131.747	131.077	131.655	256817	0	1
2018.02.27	131.655	132.186	131.270	131.273	268036	0	1
2018.02.28	131.273	131.517	130.040	130.053	263956	0	1
2018.03.01	130.063	130.792	129.762	130.274	335921	0	1
2018.03.02	130.274	130.439	129.560	130.243	323904	0	1
2018.03.05	130.037	131.010	129.350	130.996	284134	0	1
2018.03.06	130.997	132.015	130.598	131.613	264710	0	1
2018.03.07	131.613	131.743	130.919	131.600	293026	0	1
2018.03.08	131.604	131.981	130.515	130.725	271038	0	1
2018.03.09	130.774	131.890	130.676	131.422	274586	0	1
2018.03.12	131.436	131.692	130.964	131.278	225974	0	0
2018.03.13	131.274	132.429	131.109	131.905	248166	0	1
2018.03.14	131.905	132.279	131.019	131.481	248504	0	1
2018.03.15	131.481	131.538	130.561	130.835	263099	0	1
2018.03.16	130.840	130.887	130.074	130.274	214778	0	1
2018.03.19	130.209	131.068	129.605	130.790	265353	0	1
2018.03.20	130.790	131.717	130.339	130.424	242957	0	1
2018.03.21	130.426	131.062	130.190	130.866	261099	0	1
2018.03.22	130.867	131.017	129.494	129.595	317879	0	1
2018.03.23	129.598	129.973	128.946	129.391	342549	0	1
2018.03.26	129.273	131.376	129.259	131.152	266116	0	1
2018.03.27	131.206	131.814	130.580	130.627	326583	0	1
2018.03.28	130.627	131.712	130.573	131.468	460971	0	1
2018.03.29	131.456	131.602	130.610	130.889	288093	0	1
2018.03.30	130.912	131.083	130.616	130.925	176444	0	1
2018.04.02	130.800	131.294	129.977	130.264	236389	0	1
2018.04.03	130.256	130.920	129.983	130.805	263885	0	1
2018.04.04	130.795	131.192	130.229	131.099	172465	0	1
2018.04.05	131.085	131.497	131.051	131.434	137698	0	1
2018.04.06	131.432	131.617	131.085	131.330	183108	0	1
2018.04.09	131.302	131.993	131.106	131.513	135246	0	1
2018.04.10	131.503	132.618	131.422	132.449	148897	0	1
2018.04.11	132.449	132.607	132.026	132.066	124356	0	1
2018.04.12	132.048	132.335	131.803	132.268	135989	0	1
