<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.68831	1.69909	1.68674	1.69608	103572	0	4
2018.01.03	1.69598	1.70259	1.68935	1.69398	123245	0	4
2018.01.04	1.69398	1.69746	1.68520	1.68638	128800	0	4
2018.01.05	1.68638	1.68905	1.67621	1.67621	130410	0	4
2018.01.08	1.67756	1.68010	1.66557	1.66678	114722	0	1
2018.01.09	1.66678	1.67003	1.65891	1.66608	136826	0	1
2018.01.10	1.66548	1.67086	1.65753	1.65978	191907	0	1
2018.01.11	1.65978	1.66676	1.65208	1.65699	179254	0	1
2018.01.12	1.65699	1.68225	1.65458	1.68225	205186	0	1
2018.01.15	1.68354	1.68571	1.67598	1.67913	157459	0	1
2018.01.16	1.67914	1.68728	1.67661	1.68598	187763	0	1
2018.01.17	1.68598	1.69370	1.67318	1.67508	226868	0	1
2018.01.18	1.67498	1.68199	1.67159	1.67568	202796	0	1
2018.01.19	1.67568	1.68456	1.67551	1.67825	186220	0	1
2018.01.22	1.68391	1.68438	1.67180	1.67308	150680	0	1
2018.01.23	1.67298	1.67563	1.66875	1.67128	180575	0	1
2018.01.24	1.67128	1.69207	1.66448	1.69098	220960	0	1
2018.01.25	1.69098	1.70134	1.68076	1.69098	325905	0	1
2018.01.26	1.69098	1.69822	1.68726	1.68849	268093	0	0
2018.01.29	1.69071	1.69570	1.68515	1.69028	228186	0	1
2018.01.30	1.69028	1.69727	1.68648	1.69111	237357	0	1
2018.01.31	1.69111	1.69247	1.67828	1.68528	268503	0	1
2018.02.01	1.68528	1.69498	1.68289	1.69018	241976	0	1
2018.02.02	1.69018	1.70725	1.68925	1.70594	252752	0	1
2018.02.05	1.70594	1.71006	1.69927	1.70128	237368	0	1
2018.02.06	1.70128	1.70542	1.68398	1.68518	346361	0	1
2018.02.07	1.68507	1.70252	1.68417	1.69338	224465	0	1
2018.02.08	1.69338	1.70933	1.69167	1.69608	262260	0	1
2018.02.09	1.69608	1.70222	1.68551	1.68845	204767	0	1
2018.02.12	1.68964	1.69671	1.68832	1.69188	127746	0	1
2018.02.13	1.69188	1.69989	1.68578	1.69728	132301	0	1
2018.02.14	1.69728	1.69879	1.67863	1.68978	191470	0	1
2018.02.15	1.68978	1.69363	1.68529	1.68768	166945	0	1
2018.02.16	1.68768	1.69278	1.67818	1.67863	162672	0	1
2018.02.19	1.68030	1.68438	1.67677	1.68248	89936	0	3
2018.02.20	1.68248	1.68502	1.67447	1.67878	125049	0	1
2018.02.21	1.67878	1.68223	1.67252	1.67818	173628	0	1
2018.02.22	1.67818	1.68206	1.67459	1.67808	175041	0	1
2018.02.23	1.67802	1.69122	1.67750	1.68400	149232	0	3
2018.02.26	1.68505	1.68807	1.67821	1.68628	136197	0	1
2018.02.27	1.68628	1.69435	1.68568	1.69048	165757	0	1
2018.02.28	1.69006	1.69499	1.68696	1.68969	152389	0	2
2018.03.01	1.68969	1.69592	1.68122	1.69058	190558	0	1
2018.03.02	1.69058	1.70573	1.68571	1.70034	183888	0	1
2018.03.05	1.69978	1.70958	1.69978	1.70658	167401	0	2
2018.03.06	1.70658	1.70855	1.69719	1.70032	167022	0	1
2018.03.07	1.70032	1.70804	1.69973	1.70322	183966	0	1
2018.03.08	1.70322	1.71306	1.69326	1.69358	176675	0	2
