<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	152.100	152.735	151.865	152.570	167165	0	2
2018.01.03	152.570	152.825	151.748	152.027	174909	0	2
2018.01.04	152.026	152.977	151.961	152.752	191929	0	2
2018.01.05	152.752	153.637	152.705	153.416	199716	0	2
2018.01.08	153.389	153.669	152.869	153.406	151010	0	1
2018.01.09	153.406	153.573	151.945	152.508	197082	0	1
2018.01.10	152.504	152.599	150.359	150.490	246470	0	1
2018.01.11	150.490	151.005	150.191	150.541	234378	0	1
2018.01.12	150.541	152.675	150.507	152.451	268346	0	1
2018.01.15	152.494	152.807	151.931	152.374	216054	0	1
2018.01.16	152.374	153.099	152.046	152.291	238145	0	1
2018.01.17	152.292	154.286	152.142	153.884	277951	0	1
2018.01.18	153.855	154.579	153.619	154.314	266526	0	1
2018.01.19	154.300	154.424	153.109	153.541	247651	0	1
2018.01.22	153.462	155.250	153.408	155.124	197493	0	1
2018.01.23	155.124	155.403	153.729	154.393	250008	0	1
2018.01.24	154.393	155.705	154.126	155.456	308164	0	1
2018.01.25	155.458	156.084	154.424	154.597	392001	0	1
2018.01.26	154.597	155.854	153.425	153.766	322320	0	0
2018.01.29	153.655	154.021	152.823	153.333	279907	0	1
2018.01.30	153.333	154.084	151.966	153.866	300973	0	1
2018.01.31	153.866	155.344	153.561	154.918	325723	0	1
2018.02.01	154.918	156.442	154.547	155.977	289999	0	1
2018.02.02	155.977	156.608	155.418	155.551	330937	0	1
2018.02.05	155.387	155.550	152.211	152.212	384217	0	1
2018.02.06	152.212	152.907	151.201	152.791	541304	0	1
2018.02.07	152.791	153.123	151.325	151.684	366902	0	1
2018.02.08	151.685	154.044	150.807	151.284	534037	0	1
2018.02.09	151.235	152.753	148.913	150.406	582052	0	1
2018.02.12	150.282	150.826	149.660	150.310	315120	0	1
2018.02.13	150.310	150.619	148.975	149.761	310182	0	1
2018.02.14	149.761	150.027	147.962	149.724	382259	0	1
2018.02.15	149.724	150.184	148.924	149.602	360390	0	1
2018.02.16	149.602	149.964	148.777	148.977	308390	0	1
2018.02.19	148.954	149.469	148.878	149.172	220933	0	1
2018.02.20	149.172	150.382	149.065	150.175	252388	0	1
2018.02.21	150.175	150.934	149.414	149.964	305899	0	1
2018.02.22	149.966	149.981	148.538	148.910	290046	0	1
2018.02.23	148.907	149.517	148.641	149.317	237112	0	1
2018.02.26	149.912	150.010	148.999	149.300	259956	0	1
2018.02.27	149.300	149.812	148.836	149.249	269800	0	1
2018.02.28	149.247	149.516	146.721	146.759	285351	0	1
2018.03.01	146.759	147.484	146.007	146.324	350995	0	1
2018.03.02	146.298	146.446	144.982	145.946	322783	0	1
2018.03.05	145.563	147.123	145.080	147.045	329411	0	1
2018.03.06	147.045	148.011	146.553	147.329	282523	0	1
2018.03.07	147.329	147.569	146.231	147.313	318964	0	1
2018.03.08	147.313	147.659	146.369	146.615	285266	0	1
2018.03.09	146.615	148.545	146.607	147.921	301032	0	1
2018.03.12	147.872	148.211	147.412	148.000	228718	0	1
2018.03.13	148.000	149.380	147.764	148.672	268501	0	1
2018.03.14	148.672	149.165	147.750	148.462	263761	0	1
2018.03.15	148.461	148.502	147.444	148.207	287836	0	1
2018.03.16	148.208	148.234	147.247	147.794	236455	0	1
2018.03.19	147.720	149.682	147.047	148.698	369311	0	1
2018.03.20	148.698	149.792	148.573	149.139	340350	0	1
2018.03.21	149.139	150.306	148.951	149.941	251550	0	1
2018.03.22	149.941	150.182	148.271	148.484	323673	0	1
2018.03.23	148.484	148.971	147.670	147.997	325740	0	1
2018.03.26	147.894	150.108	147.879	149.962	240289	0	1
2018.03.27	149.939	150.495	148.933	149.101	242810	0	1
2018.03.28	148.913	150.593	148.909	150.347	379969	0	1
2018.03.29	150.347	150.466	149.023	149.173	320190	0	1
2018.03.30	149.173	149.455	148.812	148.968	277463	0	1
2018.04.02	148.809	149.672	148.382	148.701	173582	0	1
2018.04.03	148.701	149.958	148.493	149.828	216384	0	1
2018.04.04	149.835	150.426	148.798	150.305	152780	0	1
2018.04.05	150.326	150.685	149.959	150.365	124618	0	1
2018.04.06	150.340	151.223	149.881	150.660	177287	0	1
2018.04.09	150.621	151.492	150.490	150.816	123675	0	1
2018.04.10	150.812	152.136	150.707	151.947	142663	0	1
2018.04.11	151.934	152.243	151.276	151.368	124625	0	1
2018.04.12	151.324	152.877	151.168	152.635	136711	0	1
2018.04.13	152.645	153.851	152.579	152.797	116570	0	1
2018.04.16	153.024	153.761	152.651	153.561	104580	0	1
2018.04.17	153.552	153.753	152.782	152.838	100314	0	1
2018.04.18	152.836	153.628	152.058	152.274	102747	0	1
2018.04.19	152.240	152.958	151.085	151.195	125777	0	1
2018.04.20	151.209	151.702	150.691	150.736	123797	0	1
2018.04.23	150.864	151.640	150.731	151.515	113522	0	1
2018.04.24	151.507	152.599	151.406	152.072	117197	0	1
2018.04.25	152.040	152.568	152.039	152.398	142396	0	1
2018.04.26	152.370	152.729	151.973	152.068	190656	0	1
2018.04.27	152.027	152.279	150.225	150.310	194254	0	1
2018.04.30	150.171	150.843	149.836	150.404	139429	0	1
2018.05.01	150.405	150.633	149.147	149.561	156658	0	1
2018.05.02	149.561	150.124	149.006	149.083	189531	0	1
2018.05.03	149.075	149.465	147.600	148.200	203219	0	1
2018.05.04	148.200	148.294	147.058	147.546	193733	0	1
2018.05.07	147.643	148.263	147.341	147.872	117199	0	1
2018.05.08	147.872	148.076	147.050	147.836	173863	0	1
2018.05.09	147.836	149.195	147.698	148.639	169298	0	1
2018.05.10	148.639	149.308	147.479	147.844	209953	0	1
2018.05.11	147.846	148.487	147.581	148.113	140441	0	1
2018.05.14	147.979	149.068	147.915	148.619	115597	0	1
2018.05.15	148.615	149.197	148.376	148.989	162101	0	1
2018.05.16	148.895	149.064	148.181	148.862	170853	0	1
2018.05.17	148.826	149.834	148.762	149.674	170602	0	1
2018.05.18	149.676	150.008	149.090	149.181	123809	0	1
2018.05.21	149.232	149.655	148.812	149.029	120266	0	1
2018.05.22	149.029	149.726	148.767	148.898	141788	0	1
2018.05.23	148.902	149.000	145.944	146.869	229576	0	1
2018.05.24	146.841	147.266	145.688	146.140	191310	0	1
2018.05.25	146.133	146.724	145.278	145.429	205193	0	1
2018.05.28	146.100	146.180	145.319	145.598	127214	0	1
2018.05.29	145.578	145.708	143.194	144.001	252566	0	1
2018.05.30	144.047	145.056	143.596	144.641	179466	0	1
2018.05.31	144.644	145.311	144.123	144.643	167799	0	1
2018.06.01	144.605	146.303	144.486	146.176	140104	0	1
2018.06.04	145.905	146.898	145.836	146.190	109392	0	1
2018.06.05	146.173	147.093	146.030	146.938	118070	0	1
