<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.35053	1.36003	1.34882	1.35898	123697	0	2
2018.01.03	1.35872	1.36126	1.34936	1.35129	133360	0	2
2018.01.04	1.35129	1.35597	1.35053	1.35497	131512	0	2
2018.01.05	1.35501	1.35823	1.35231	1.35728	135603	0	2
2018.01.08	1.35691	1.35854	1.35228	1.35661	121092	0	1
2018.01.09	1.35675	1.35821	1.35055	1.35405	120795	0	1
2018.01.10	1.35400	1.35622	1.34816	1.35059	173518	0	1
2018.01.11	1.35059	1.35545	1.34579	1.35357	165339	0	1
2018.01.12	1.35357	1.37438	1.35319	1.37252	207305	0	1
2018.01.15	1.37267	1.38194	1.37236	1.37873	163920	0	1
2018.01.16	1.37873	1.38055	1.37417	1.37915	170446	0	1
2018.01.17	1.37915	1.39423	1.37564	1.38267	213276	0	1
2018.01.18	1.38267	1.39131	1.38046	1.38934	196288	0	1
2018.01.19	1.38923	1.39449	1.38386	1.38571	192197	0	1
2018.01.22	1.38933	1.39908	1.38569	1.39863	138807	0	1
2018.01.23	1.39846	1.40270	1.39156	1.39973	190708	0	1
2018.01.24	1.39973	1.42625	1.39968	1.42370	249461	0	1
2018.01.25	1.42370	1.43452	1.40828	1.41297	358974	0	1
2018.01.26	1.41297	1.42865	1.41076	1.41575	290605	0	0
2018.01.29	1.41382	1.41581	1.40251	1.40738	240346	0	1
2018.01.30	1.40739	1.41662	1.39797	1.41454	223767	0	1
2018.01.31	1.41452	1.42326	1.41214	1.41878	265750	0	1
2018.02.01	1.41878	1.42781	1.41507	1.42596	224316	0	1
2018.02.02	1.42596	1.42777	1.41014	1.41204	225683	0	1
2018.02.05	1.41017	1.41503	1.39541	1.39568	256727	0	1
2018.02.06	1.39560	1.39994	1.38360	1.39464	281325	0	1
2018.02.07	1.39464	1.39941	1.38483	1.38799	197659	0	1
2018.02.08	1.38799	1.40667	1.38454	1.39124	284207	0	1
2018.02.09	1.39124	1.39871	1.37643	1.38233	251533	0	1
2018.02.12	1.38062	1.38756	1.37950	1.38367	157966	0	1
2018.02.13	1.38352	1.39240	1.38323	1.38918	157727	0	1
2018.02.14	1.38926	1.40164	1.37998	1.39940	207477	0	1
2018.02.15	1.39935	1.41044	1.39934	1.40996	201846	0	1
2018.02.16	1.40996	1.41448	1.39964	1.40339	188840	0	1
2018.02.19	1.40124	1.40493	1.39585	1.39950	127921	0	1
2018.02.20	1.39950	1.40242	1.39310	1.39928	174171	0	1
2018.02.21	1.39928	1.40083	1.39043	1.39162	208038	0	1
2018.02.22	1.39161	1.39888	1.38565	1.39505	155057	0	1
2018.02.23	1.39504	1.40052	1.39040	1.39613	134363	0	1
2018.02.26	1.39871	1.40697	1.39283	1.39665	132774	0	1
2018.02.27	1.39666	1.39961	1.38574	1.39058	168586	0	1
2018.02.28	1.39060	1.39161	1.37566	1.37594	166972	0	1
2018.03.01	1.37596	1.37852	1.37115	1.37755	190505	0	1
2018.03.02	1.37755	1.38166	1.37552	1.38013	171982	0	1
2018.03.05	1.37955	1.38773	1.37663	1.38479	168579	0	1
2018.03.06	1.38479	1.39292	1.38164	1.38858	152141	0	1
2018.03.07	1.38858	1.39123	1.38461	1.38907	169919	0	1
2018.03.08	1.38911	1.39097	1.37806	1.38078	170907	0	1
2018.03.09	1.38077	1.38889	1.37879	1.38530	150671	0	1
2018.03.12	1.38500	1.39172	1.38409	1.39045	100659	0	1
2018.03.13	1.39044	1.39940	1.38744	1.39635	127085	0	1
2018.03.14	1.39635	1.39954	1.39252	1.39645	126630	0	1
2018.03.15	1.39644	1.39884	1.39213	1.39369	150092	0	1
2018.03.16	1.39369	1.39805	1.38889	1.39420	131187	0	1
2018.03.19	1.39449	1.40881	1.39125	1.40241	183363	0	1
2018.03.20	1.40242	1.40664	1.39824	1.39998	148724	0	1
2018.03.21	1.39998	1.41505	1.39977	1.41372	200448	0	1
2018.03.22	1.41372	1.42181	1.40757	1.40995	217873	0	1
2018.03.23	1.40995	1.41716	1.40849	1.41316	169945	0	1
2018.03.26	1.41319	1.42444	1.41299	1.42269	131975	0	1
2018.03.27	1.42273	1.42440	1.40658	1.41563	160686	0	1
2018.03.28	1.41557	1.42003	1.40705	1.40769	175447	0	1
2018.03.29	1.40769	1.40960	1.40103	1.40182	149454	0	1
2018.03.30	1.40172	1.40591	1.40119	1.40211	117490	0	1
2018.04.02	1.40126	1.40773	1.40023	1.40441	79779	0	1
2018.04.03	1.40441	1.40886	1.40206	1.40549	127130	0	1
2018.04.04	1.40550	1.40964	1.40150	1.40772	86507	0	1
2018.04.05	1.40790	1.40969	1.39658	1.40033	81775	0	1
2018.04.06	1.39995	1.41052	1.39827	1.40881	100041	0	1
2018.04.09	1.40819	1.41641	1.40781	1.41293	84822	0	1
2018.04.10	1.41286	1.41878	1.41199	1.41739	83454	0	1
2018.04.11	1.41748	1.42231	1.41605	1.41746	75345	0	1
2018.04.12	1.41730	1.42465	1.41449	1.42276	86457	0	1
2018.04.13	1.42248	1.42961	1.42204	1.42382	67806	0	1
2018.04.16	1.42375	1.43440	1.42296	1.43359	69511	0	1
2018.04.17	1.43343	1.43762	1.42822	1.42858	73820	0	1
2018.04.18	1.42860	1.43145	1.41726	1.42014	79853	0	1
2018.04.19	1.41997	1.42455	1.40683	1.40819	95212	0	1
2018.04.20	1.40826	1.40911	1.40008	1.40010	84049	0	1
2018.04.23	1.39978	1.40309	1.39259	1.39394	73132	0	1
2018.04.24	1.39376	1.39870	1.39178	1.39760	70272	0	1
2018.04.25	1.39724	1.39966	1.39231	1.39279	64369	0	1
2018.04.26	1.39230	1.39979	1.38947	1.39127	101477	0	1
2018.04.27	1.39145	1.39344	1.37469	1.37792	91437	0	1
2018.04.30	1.37701	1.37923	1.37122	1.37552	86517	0	1
2018.05.01	1.37552	1.37725	1.35880	1.36127	83657	0	1
2018.05.02	1.36128	1.36658	1.35547	1.35718	119544	0	1
2018.05.03	1.35710	1.36292	1.35377	1.35730	120784	0	1
2018.05.04	1.35730	1.35858	1.34861	1.35301	92353	0	1
2018.05.07	1.35304	1.35752	1.35151	1.35560	69246	0	1
2018.05.08	1.35559	1.35930	1.34844	1.35468	106487	0	1
2018.05.09	1.35468	1.36069	1.34989	1.35452	99791	0	1
2018.05.10	1.35453	1.36175	1.34597	1.35160	162472	0	1
2018.05.11	1.35122	1.35955	1.35018	1.35412	90461	0	1
2018.05.14	1.35342	1.36082	1.35288	1.35548	66890	0	1
2018.05.15	1.35550	1.35719	1.34511	1.35032	95856	0	1
2018.05.16	1.35012	1.35208	1.34554	1.34859	108126	0	1
2018.05.17	1.34822	1.35691	1.34741	1.35148	120707	0	1
2018.05.18	1.35146	1.35276	1.34549	1.34686	79641	0	1
2018.05.21	1.34590	1.34826	1.33907	1.34217	81668	0	1
2018.05.22	1.34222	1.34914	1.34123	1.34279	99215	0	1
2018.05.23	1.34269	1.34423	1.33051	1.33434	127472	0	1
2018.05.24	1.33397	1.34214	1.33344	1.33784	115298	0	1
2018.05.25	1.33794	1.33889	1.32922	1.32955	98948	0	1
2018.05.28	1.33121	1.33410	1.32961	1.33080	79278	0	1
2018.05.29	1.33080	1.33250	1.32040	1.32430	131511	0	1
2018.05.30	1.32424	1.33069	1.32383	1.32833	110604	0	1
2018.05.31	1.32835	1.33479	1.32770	1.32933	113669	0	1
2018.06.01	1.32929	1.33617	1.32536	1.33474	104933	0	1
2018.06.04	1.33320	1.33981	1.32944	1.33137	86714	0	1
2018.06.05	1.33116	1.34085	1.33018	1.33856	98435	0	1
2018.06.06	1.33784	1.34428	1.33753	1.34119	89002	0	1
2018.06.07	1.34097	1.34723	1.33711	1.34224	102276	0	1
2018.06.08	1.34224	1.34390	1.33543	1.34067	92826	0	1
2018.06.11	1.34044	1.34411	1.33445	1.33741	72291	0	1
2018.06.12	1.33735	1.34244	1.33418	1.33705	98282	0	1
2018.06.13	1.33730	1.33895	1.33079	1.33744	99853	0	1
2018.06.14	1.33744	1.34464	1.32556	1.32587	130535	0	1
2018.06.15	1.32590	1.32978	1.32110	1.32764	104135	0	1
2018.06.18	1.32614	1.32788	1.32258	1.32446	86093	0	1
2018.06.19	1.32439	1.32726	1.31504	1.31726	106706	0	1
2018.06.20	1.31720	1.32173	1.31466	1.31673	90967	0	1
2018.06.21	1.31680	1.32696	1.31017	1.32329	153830	0	1
2018.06.22	1.32289	1.33147	1.32289	1.32652	101208	0	1
2018.06.25	1.32491	1.32907	1.32207	1.32765	90242	0	1
2018.06.26	1.32755	1.32919	1.31917	1.32141	92851	0	1
2018.06.27	1.32259	1.32335	1.31060	1.31108	105418	0	1
2018.06.28	1.31105	1.31209	1.30491	1.30766	156198	0	1
2018.06.29	1.30766	1.32138	1.30668	1.32084	125842	0	1
2018.07.02	1.31941	1.32084	1.30946	1.31419	103320	0	1
2018.07.03	1.31410	1.32066	1.31145	1.31899	91630	0	1
2018.07.04	1.31899	1.32494	1.31706	1.32270	83124	0	1
2018.07.05	1.32107	1.32746	1.32038	1.32208	138736	0	1
