<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.69017	0.69396	0.67712	0.68976	59432	0	2
2018.01.03	0.68976	0.69460	0.68784	0.69228	71861	0	2
2018.01.04	0.69228	0.69799	0.69160	0.69602	65722	0	2
2018.01.05	0.69607	0.70102	0.69606	0.69823	73239	0	2
2018.01.08	0.69698	0.70236	0.69697	0.70063	55841	0	1
2018.01.09	0.70063	0.70659	0.69951	0.70329	72507	0	1
2018.01.10	0.70334	0.70798	0.70214	0.70369	100584	0	1
2018.01.11	0.70369	0.70874	0.70254	0.70788	99628	0	1
2018.01.12	0.70788	0.70931	0.69695	0.69695	108022	0	1
2018.01.15	0.70062	0.70465	0.69979	0.70254	91355	0	1
2018.01.16	0.70247	0.70364	0.69684	0.69689	97806	0	1
2018.01.17	0.69677	0.70286	0.69609	0.70160	120843	0	1
2018.01.18	0.70160	0.70386	0.69597	0.69940	102683	0	1
2018.01.19	0.69870	0.70139	0.69661	0.70080	102456	0	1
2018.01.22	0.69932	0.70482	0.69892	0.70449	77801	0	1
2018.01.23	0.70449	0.70658	0.70300	0.70384	90744	0	1
2018.01.24	0.70384	0.70471	0.69255	0.69255	114494	0	1
2018.01.25	0.69252	0.69753	0.68239	0.68239	163921	0	1
2018.01.26	0.68239	0.68976	0.68195	0.68665	136401	0	1
2018.01.29	0.68448	0.68801	0.68431	0.68609	106664	0	1
2018.01.30	0.68609	0.68757	0.68256	0.68453	128386	0	1
2018.01.31	0.68453	0.69248	0.68290	0.68525	132291	0	1
2018.02.01	0.68525	0.68730	0.68403	0.68479	129932	0	1
2018.02.02	0.68468	0.68561	0.67877	0.67907	138082	0	1
2018.02.05	0.67919	0.68413	0.67554	0.67624	109510	0	1
2018.02.06	0.67624	0.68841	0.67571	0.68674	185508	0	1
2018.02.07	0.68674	0.68853	0.67963	0.68211	113467	0	1
2018.02.08	0.68211	0.68409	0.67366	0.67514	152322	0	1
2018.02.09	0.67514	0.68244	0.67460	0.68102	143464	0	1
2018.02.12	0.67974	0.68244	0.67840	0.68184	88984	0	1
2018.02.13	0.68184	0.68356	0.67890	0.67969	91482	0	1
2018.02.14	0.67969	0.68554	0.67799	0.68414	121777	0	1
2018.02.15	0.68414	0.68624	0.68056	0.68264	104647	0	1
2018.02.16	0.68264	0.68567	0.68138	0.68510	95891	0	1
2018.02.19	0.68432	0.68696	0.68355	0.68474	33272	0	2
2018.02.20	0.68474	0.68857	0.68389	0.68749	50603	0	1
2018.02.21	0.68749	0.69001	0.68659	0.68684	53916	0	1
2018.02.22	0.68684	0.68830	0.68354	0.68427	63413	0	1
2018.02.23	0.68427	0.68520	0.68104	0.68217	76553	0	1
2018.02.26	0.68143	0.68634	0.68124	0.68479	71797	0	1
2018.02.27	0.68464	0.68507	0.67897	0.67909	95660	0	1
2018.02.28	0.67899	0.68310	0.67834	0.68050	91965	0	1
2018.03.01	0.68050	0.68683	0.67873	0.68228	102512	0	1
2018.03.02	0.68228	0.68502	0.67581	0.67865	110303	0	1
2018.03.05	0.67662	0.68045	0.67464	0.67889	92828	0	1
2018.03.06	0.67889	0.68634	0.67865	0.68534	90785	0	2
2018.03.07	0.68534	0.68755	0.68160	0.68589	97332	0	1
2018.03.08	0.68589	0.69144	0.68488	0.69025	92883	0	1
2018.03.09	0.69025	0.69340	0.68929	0.69231	75575	0	1
2018.03.12	0.69293	0.69554	0.68963	0.69082	37322	0	4
2018.03.13	0.69114	0.69492	0.69073	0.69076	53411	0	4
2018.03.14	0.69076	0.69475	0.68987	0.69003	45900	0	1
2018.03.15	0.69008	0.69279	0.68964	0.69201	43173	0	1
2018.03.16	0.69214	0.69244	0.68576	0.68576	35059	0	2
2018.03.19	0.68722	0.68948	0.68614	0.68857	39130	0	1
2018.03.20	0.68857	0.68936	0.68504	0.68576	36181	0	1
2018.03.21	0.68587	0.68739	0.68171	0.68543	47441	0	1
2018.03.22	0.68543	0.68772	0.68319	0.68386	60097	0	2
2018.03.23	0.68386	0.68898	0.68219	0.68333	103740	0	1
2018.03.26	0.68445	0.69084	0.68406	0.68968	71264	0	1
2018.03.27	0.68968	0.69060	0.68674	0.68760	81326	0	1
2018.03.28	0.68742	0.69293	0.68711	0.68959	94203	0	1
2018.03.29	0.68937	0.69188	0.68728	0.69139	56357	0	1
2018.03.30	0.69139	0.69175	0.68854	0.68915	29297	0	1
2018.04.02	0.68879	0.69097	0.68722	0.68823	24873	0	3
2018.04.03	0.68823	0.69732	0.68733	0.69523	73641	0	1
2018.04.04	0.69530	0.70216	0.69475	0.70139	56245	0	1
2018.04.05	0.70099	0.70325	0.69876	0.70052	46055	0	1
2018.04.06	0.70015	0.70107	0.69654	0.69721	77051	0	1
2018.04.09	0.69604	0.70112	0.69604	0.69834	56571	0	1
2018.04.10	0.69834	0.70587	0.69813	0.70403	59024	0	1
2018.04.11	0.70349	0.70653	0.70253	0.70419	64750	0	1
2018.04.12	0.70499	0.71124	0.70364	0.70934	86103	0	1
2018.04.13	0.70926	0.71212	0.70653	0.70685	60096	0	1
2018.04.16	0.70684	0.70874	0.70399	0.70654	59332	0	1
2018.04.17	0.70644	0.70977	0.70433	0.70909	60137	0	1
2018.04.18	0.70909	0.71015	0.70746	0.70834	74210	0	1
2018.04.19	0.70816	0.71083	0.70526	0.70594	87794	0	1
2018.04.20	0.70571	0.70627	0.70156	0.70156	77613	0	1
2018.04.23	0.70223	0.70383	0.69871	0.69884	79057	0	1
2018.04.24	0.69914	0.69989	0.69495	0.69654	73675	0	1
2018.04.25	0.69658	0.69724	0.69341	0.69453	74155	0	1
2018.04.26	0.69512	0.69920	0.69330	0.69809	86902	0	1
2018.04.27	0.69804	0.70070	0.69721	0.69811	79125	0	1
2018.04.30	0.69921	0.70013	0.69642	0.69684	67166	0	1
2018.05.01	0.69684	0.69834	0.69619	0.69766	73106	0	1
2018.05.02	0.69811	0.69977	0.69689	0.69824	94262	0	1
2018.05.03	0.69824	0.70340	0.69639	0.70214	106402	0	1
2018.05.04	0.70209	0.70334	0.69952	0.70057	70744	0	1
2018.05.07	0.70183	0.70453	0.70126	0.70277	59504	0	1
2018.05.08	0.70279	0.70450	0.69674	0.69769	81613	0	1
2018.05.09	0.69769	0.70253	0.69729	0.70116	81258	0	1
2018.05.10	0.70114	0.70114	0.69321	0.69791	97701	0	1
2018.05.11	0.69789	0.69972	0.69526	0.69565	65446	0	1
2018.05.14	0.69534	0.69697	0.69116	0.69139	52590	0	1
2018.05.15	0.69139	0.69248	0.68629	0.68684	74439	0	1
2018.05.16	0.68672	0.69123	0.68594	0.69004	83174	0	1
2018.05.17	0.69000	0.69304	0.68797	0.68833	73488	0	1
2018.05.18	0.68851	0.69141	0.68798	0.68984	69355	0	1
2018.05.21	0.68914	0.69285	0.68796	0.69239	63954	0	1
2018.05.22	0.69233	0.69577	0.68736	0.68793	69823	0	1
2018.05.23	0.68800	0.68941	0.68217	0.68804	102781	0	1
2018.05.24	0.68785	0.68965	0.68395	0.68636	84435	0	1
2018.05.25	0.68539	0.68890	0.68320	0.68354	78672	0	1
2018.05.28	0.68455	0.69176	0.68454	0.68896	61241	0	1
2018.05.29	0.68934	0.69073	0.67974	0.68394	95480	0	1
2018.05.30	0.68395	0.69282	0.68194	0.69059	96594	0	1
2018.05.31	0.69069	0.69258	0.68811	0.68946	93243	0	1
2018.06.01	0.68923	0.69215	0.68791	0.68922	77386	0	1
2018.06.04	0.68924	0.69566	0.68913	0.69379	59203	0	1
2018.06.05	0.69319	0.69565	0.69049	0.69058	66226	0	1
2018.06.06	0.69034	0.69652	0.69034	0.69319	64050	0	1
2018.06.07	0.69331	0.69477	0.68776	0.68864	67354	0	1
2018.06.08	0.68869	0.69457	0.68750	0.69185	60759	0	1
2018.06.11	0.69045	0.69488	0.69045	0.69154	44079	0	1
2018.06.12	0.69164	0.69570	0.69034	0.69135	59832	0	1
2018.06.13	0.69105	0.69537	0.68957	0.69159	59033	0	1
2018.06.14	0.69153	0.69778	0.69094	0.69514	83852	0	1
2018.06.15	0.69509	0.69509	0.69080	0.69202	72309	0	1
2018.06.18	0.69010	0.69320	0.68865	0.69009	47475	0	1
2018.06.19	0.68989	0.69049	0.68441	0.68514	83788	0	1
2018.06.20	0.68500	0.68847	0.68163	0.68163	67597	0	1
2018.06.21	0.68399	0.68421	0.68029	0.68060	95163	0	1
2018.06.22	0.68060	0.68433	0.67829	0.68208	69462	0	1
2018.06.25	0.68264	0.68357	0.67963	0.67979	55439	0	1
2018.06.26	0.67964	0.68097	0.67800	0.67867	64881	0	1
2018.06.27	0.67825	0.67957	0.67441	0.67624	76671	0	1
2018.06.28	0.67699	0.67892	0.67298	0.67369	95090	0	1
2018.06.29	0.67376	0.67449	0.67018	0.67092	80683	0	1
2018.07.02	0.67174	0.67258	0.66583	0.66694	52593	0	1
2018.07.03	0.66684	0.67075	0.66520	0.67004	63719	0	1
2018.07.04	0.67014	0.67251	0.66904	0.67053	56318	0	1
2018.07.05	0.67072	0.67455	0.67021	0.67314	68129	0	1
2018.07.06	0.67284	0.67786	0.67280	0.67652	75911	0	1
2018.07.09	0.67622	0.67874	0.67446	0.67724	63908	0	1
2018.07.10	0.67730	0.67993	0.67628	0.67772	79793	0	1
2018.07.11	0.67790	0.67790	0.67249	0.67256	82993	0	1
2018.07.12	0.67266	0.67945	0.67156	0.67913	78892	0	1
2018.07.13	0.67914	0.67994	0.67514	0.67739	70686	0	1
2018.07.16	0.67653	0.67899	0.67452	0.67504	58352	0	1
2018.07.17	0.67508	0.68132	0.67329	0.67804	79618	0	1
2018.07.18	0.67815	0.67945	0.67559	0.67819	67210	0	1
2018.07.19	0.67834	0.67938	0.67218	0.67299	96319	0	1
2018.07.20	0.67304	0.67700	0.67220	0.67509	101102	0	1
2018.07.23	0.67315	0.67598	0.67274	0.67282	59227	0	30
2018.07.24	0.67326	0.67679	0.67255	0.67493	63872	0	30
2018.07.25	0.67550	0.67802	0.67452	0.67751	68735	0	30
2018.07.26	0.67773	0.67857	0.67366	0.67366	66471	0	30
2018.07.27	0.67400	0.67639	0.67315	0.67483	53871	0	30
2018.07.30	0.67449	0.67736	0.67321	0.67321	37529	0	30
2018.07.31	0.67410	0.67536	0.67257	0.67417	50820	0	30
2018.08.01	0.67507	0.67528	0.67251	0.67318	53479	0	30
2018.08.02	0.67326	0.67398	0.67016	0.67097	46802	0	30
2018.08.03	0.67077	0.67196	0.66930	0.67036	54729	0	30
2018.08.06	0.66974	0.67182	0.66891	0.67052	39413	0	30
2018.08.07	0.67069	0.67224	0.66946	0.66998	43903	0	30
2018.08.08	0.67048	0.67196	0.66918	0.66975	45276	0	30
2018.08.09	0.66984	0.66984	0.65568	0.65652	58752	0	30
2018.08.10	0.65697	0.65771	0.65391	0.65394	80218	0	30
2018.08.13	0.65234	0.65509	0.65133	0.65300	65873	0	30
2018.08.14	0.65320	0.65660	0.65191	0.65291	55453	0	30
2018.08.15	0.65330	0.65447	0.65102	0.65192	61610	0	30
2018.08.16	0.65205	0.65733	0.65112	0.65601	66824	0	30
2018.08.17	0.65623	0.66043	0.65573	0.66008	59113	0	30
2018.08.20	0.66051	0.66060	0.65737	0.65818	50138	0	30
2018.08.21	0.65834	0.65978	0.65654	0.65851	65573	0	30
