<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	7.80825	7.81803	7.80825	7.81435	15085	0	6
2018.01.03	7.81435	7.81798	7.81209	7.81631	17934	0	6
2018.01.04	7.81606	7.81893	7.81476	7.81680	20908	0	6
2018.01.05	7.81680	7.82137	7.81498	7.81672	17095	0	6
2018.01.08	7.81287	7.82285	7.81287	7.82067	17902	0	1
2018.01.09	7.82067	7.82355	7.81841	7.82040	15905	0	1
2018.01.10	7.82019	7.82494	7.81839	7.82217	19523	0	1
2018.01.11	7.82197	7.82529	7.82011	7.82294	15180	0	1
2018.01.12	7.82294	7.82500	7.82072	7.82076	16743	0	1
2018.01.15	7.81861	7.82534	7.81861	7.82324	11618	0	1
2018.01.16	7.82297	7.82499	7.82070	7.82272	15922	0	1
2018.01.17	7.82261	7.82434	7.81619	7.81801	21232	0	1
2018.01.18	7.81801	7.82175	7.81512	7.81661	25564	0	1
2018.01.19	7.81661	7.82080	7.81442	7.81481	21059	0	1
2018.01.22	7.80989	7.82097	7.80989	7.81792	25837	0	1
2018.01.23	7.81792	7.81997	7.81629	7.81856	17014	0	1
2018.01.24	7.81872	7.81940	7.81682	7.81806	14631	0	1
2018.01.25	7.81806	7.81847	7.81545	7.81742	14485	0	1
2018.01.26	7.81742	7.81954	7.81496	7.81531	14725	0	1
2018.01.29	7.81358	7.81969	7.81358	7.81744	15215	0	1
2018.01.30	7.81744	7.82096	7.81576	7.82074	13531	0	1
2018.01.31	7.81892	7.82282	7.81887	7.82279	15963	0	1
2018.02.01	7.82279	7.82290	7.81940	7.81948	21658	0	1
2018.02.02	7.81940	7.82162	7.81523	7.81590	14039	0	1
2018.02.05	7.81515	7.82277	7.81515	7.82026	16943	0	1
2018.02.06	7.82026	7.82161	7.81812	7.81826	13677	0	1
2018.02.07	7.81831	7.81979	7.81654	7.81796	14352	0	1
2018.02.08	7.81795	7.82248	7.81462	7.81927	17387	0	1
2018.02.09	7.81927	7.82148	7.81605	7.81666	15436	0	1
2018.02.12	7.81526	7.82142	7.81353	7.81904	14450	0	1
2018.02.13	7.81913	7.82359	7.81733	7.82257	14480	0	0
2018.02.14	7.82257	7.82320	7.82031	7.82215	12829	0	1
2018.02.15	7.82221	7.82322	7.81999	7.82008	11384	0	1
2018.02.16	7.82008	7.82271	7.81425	7.81574	10380	0	1
2018.02.19	7.81968	7.82282	7.81813	7.82143	7790	0	1
2018.02.20	7.82151	7.82478	7.82027	7.82407	11162	0	1
2018.02.21	7.82414	7.82597	7.82193	7.82477	11828	0	1
2018.02.22	7.82477	7.82726	7.82288	7.82406	12225	0	1
2018.02.23	7.82411	7.82448	7.82160	7.82200	12285	0	1
2018.02.26	7.81736	7.82435	7.81545	7.82296	10410	0	1
2018.02.27	7.82301	7.82775	7.82090	7.82722	13915	0	1
2018.02.28	7.82728	7.82979	7.82498	7.82590	16908	0	1
2018.03.01	7.82593	7.82817	7.82362	7.82739	12688	0	1
2018.03.02	7.82739	7.83232	7.82608	7.82963	17492	0	1
2018.03.05	7.82904	7.83346	7.82627	7.83169	14652	0	1
2018.03.06	7.83181	7.83385	7.82902	7.83308	12799	0	1
2018.03.07	7.83308	7.83637	7.83081	7.83497	9789	0	1
2018.03.08	7.83499	7.84365	7.83300	7.84055	23036	0	1
2018.03.09	7.84051	7.84408	7.83447	7.83482	15684	0	1
2018.03.12	7.83749	7.84073	7.83566	7.83956	13745	0	1
2018.03.13	7.83956	7.84092	7.83774	7.83919	11962	0	1
2018.03.14	7.83919	7.84172	7.83875	7.84015	9488	0	1
2018.03.15	7.84015	7.84219	7.83969	7.84128	8705	0	1
2018.03.16	7.84131	7.84403	7.83907	7.83907	12778	0	1
2018.03.19	7.84220	7.84461	7.83980	7.84235	6936	0	1
2018.03.20	7.84235	7.84483	7.84232	7.84395	6505	0	1
2018.03.21	7.84413	7.84655	7.84247	7.84491	8163	0	1
2018.03.22	7.84491	7.84815	7.84455	7.84763	10276	0	1
2018.03.23	7.84763	7.84938	7.84320	7.84325	14297	0	1
2018.03.26	7.84513	7.84862	7.84397	7.84581	8736	0	1
2018.03.27	7.84565	7.84770	7.84389	7.84628	7653	0	1
2018.03.28	7.84628	7.84814	7.84418	7.84711	7446	0	1
2018.03.29	7.84617	7.84890	7.84512	7.84840	10286	0	1
2018.03.30	7.84840	7.84917	7.84618	7.84733	3892	0	7
2018.04.02	7.84784	7.84871	7.84233	7.84831	2910	0	1
2018.04.03	7.84831	7.84918	7.84589	7.84847	8138	0	1
2018.04.04	7.84836	7.84931	7.84561	7.84886	4112	0	1
2018.04.05	7.84810	7.84950	7.84807	7.84807	5327	0	1
2018.04.06	7.84661	7.84948	7.84661	7.84725	3927	0	1
2018.04.09	7.84801	7.84943	7.84579	7.84914	3374	0	1
2018.04.10	7.84735	7.84967	7.84731	7.84949	3053	0	1
2018.04.11	7.84814	7.84986	7.84807	7.84981	3026	0	1
2018.04.12	7.84749	7.84995	7.84733	7.84984	2835	0	5
2018.04.13	7.84771	7.84993	7.84766	7.84795	2463	0	4
2018.04.16	7.84977	7.84995	7.84726	7.84989	2305	0	5
2018.04.17	7.84675	7.84996	7.84672	7.84947	2746	0	1
2018.04.18	7.84738	7.84995	7.84733	7.84977	2013	0	6
2018.04.19	7.84945	7.84968	7.84357	7.84767	7950	0	1
2018.04.20	7.84670	7.84816	7.84124	7.84150	5292	0	1
2018.04.23	7.84350	7.84535	7.84140	7.84167	6693	0	1
2018.04.24	7.84023	7.84787	7.84023	7.84451	11301	0	1
2018.04.25	7.84460	7.84886	7.84418	7.84418	6244	0	1
2018.04.26	7.84588	7.84826	7.84284	7.84549	8058	0	1
2018.04.27	7.84549	7.84911	7.84433	7.84591	7510	0	1
2018.04.30	7.84727	7.84889	7.84517	7.84747	5037	0	1
2018.05.01	7.84622	7.84938	7.84622	7.84911	3350	0	1
2018.05.02	7.84770	7.84983	7.84758	7.84961	3813	0	1
2018.05.03	7.84957	7.84978	7.84759	7.84927	4434	0	1
2018.05.04	7.84715	7.84983	7.84715	7.84775	4086	0	1
2018.05.07	7.84831	7.84982	7.84733	7.84975	6579	0	3
2018.05.08	7.84975	7.84985	7.84815	7.84942	3788	0	1
2018.05.09	7.84937	7.84994	7.84730	7.84980	2765	0	2
2018.05.10	7.84980	7.84986	7.84772	7.84961	3351	0	1
2018.05.11	7.84831	7.84993	7.84700	7.84823	3279	0	1
2018.05.14	7.84809	7.84989	7.84607	7.84941	3050	0	1
2018.05.15	7.84759	7.84994	7.84754	7.84984	3145	0	1
2018.05.16	7.84792	7.84997	7.84772	7.84792	2495	0	3
2018.05.17	7.84792	7.84995	7.84761	7.84973	3284	0	1
2018.05.18	7.84736	7.84993	7.84720	7.84838	2913	0	1
2018.05.21	7.84816	7.84997	7.84670	7.84670	3472	0	1
2018.05.22	7.84788	7.84986	7.84669	7.84971	5254	0	1
2018.05.23	7.84878	7.84983	7.84770	7.84920	4894	0	1
2018.05.24	7.84920	7.84920	7.84573	7.84698	5907	0	1
2018.05.25	7.84687	7.84762	7.84260	7.84390	7144	0	1
2018.05.28	7.84470	7.84658	7.84029	7.84302	7911	0	1
2018.05.29	7.84321	7.84792	7.84261	7.84521	7961	0	1
2018.05.30	7.84563	7.84785	7.84433	7.84760	5049	0	1
2018.05.31	7.84494	7.84892	7.84090	7.84120	8347	0	1
2018.06.01	7.84093	7.84635	7.84086	7.84345	4348	0	1
2018.06.04	7.84512	7.84697	7.83928	7.84349	3855	0	1
2018.06.05	7.84349	7.84742	7.84346	7.84727	3595	0	1
2018.06.06	7.84496	7.84768	7.84496	7.84701	3256	0	2
2018.06.07	7.84539	7.84733	7.84418	7.84569	5133	0	1
2018.06.08	7.84358	7.84629	7.84344	7.84434	3581	0	1
2018.06.11	7.83942	7.84694	7.83942	7.84611	3087	0	2
2018.06.12	7.84466	7.84726	7.84466	7.84702	4893	0	2
2018.06.13	7.84689	7.84846	7.84406	7.84673	3325	0	1
2018.06.14	7.84809	7.84942	7.84490	7.84914	3677	0	1
2018.06.15	7.84740	7.84966	7.84654	7.84759	4319	0	2
2018.06.18	7.84643	7.84971	7.84385	7.84783	2652	0	4
2018.06.19	7.84783	7.84987	7.84758	7.84889	3269	0	1
2018.06.20	7.84860	7.84933	7.84400	7.84400	5032	0	1
2018.06.21	7.84400	7.84674	7.84324	7.84393	6394	0	1
2018.06.22	7.84393	7.84693	7.84367	7.84378	6137	0	1
2018.06.25	7.84286	7.84806	7.84016	7.84617	8603	0	1
2018.06.26	7.84470	7.84943	7.84449	7.84897	4323	0	1
2018.06.27	7.84747	7.84913	7.84626	7.84742	6224	0	1
2018.06.28	7.84641	7.84840	7.84613	7.84750	4452	0	1
2018.06.29	7.84576	7.84888	7.84278	7.84355	4805	0	1
2018.07.02	7.84490	7.84718	7.84007	7.84398	4458	0	1
2018.07.03	7.84388	7.84630	7.84056	7.84318	4707	0	1
2018.07.04	7.84448	7.84502	7.84181	7.84302	5179	0	1
2018.07.05	7.84296	7.84776	7.84165	7.84525	4564	0	1
2018.07.06	7.84678	7.84900	7.84505	7.84611	4292	0	1
2018.07.09	7.84648	7.84891	7.84366	7.84811	3584	0	1
2018.07.10	7.84724	7.84899	7.84601	7.84822	3661	0	1
2018.07.11	7.84815	7.84932	7.84624	7.84878	3330	0	1
2018.07.12	7.84869	7.84904	7.84660	7.84750	3083	0	1
2018.07.13	7.84862	7.84907	7.84696	7.84696	2843	0	1
2018.07.16	7.84520	7.84892	7.84520	7.84880	2697	0	4
2018.07.17	7.84870	7.84893	7.84669	7.84712	2818	0	1
2018.07.18	7.84862	7.84970	7.84605	7.84952	2976	0	4
2018.07.19	7.84946	7.84973	7.84737	7.84804	2958	0	2
2018.07.20	7.84951	7.84978	7.84710	7.84829	3174	0	2
2018.07.23	7.84722	7.84942	7.84349	7.84808	7258	0	12
2018.07.24	7.84817	7.84817	7.84387	7.84711	7079	0	12
2018.07.25	7.84706	7.84706	7.84363	7.84423	12957	0	12
2018.07.26	7.84418	7.84835	7.84276	7.84749	8729	0	13
2018.07.27	7.84605	7.84886	7.84407	7.84598	5111	0	8
2018.07.30	7.84602	7.84894	7.83271	7.84710	10457	0	12
2018.07.31	7.84609	7.84920	7.84373	7.84901	7570	0	13
2018.08.01	7.84883	7.84950	7.84673	7.84831	8073	0	12
2018.08.02	7.84822	7.84961	7.84668	7.84948	5549	0	12
2018.08.03	7.84783	7.84960	7.84656	7.84665	7441	0	12
2018.08.06	7.84625	7.84931	7.84463	7.84902	5166	0	13
2018.08.07	7.84903	7.84960	7.84697	7.84887	8306	0	8
2018.08.08	7.84957	7.84975	7.84520	7.84899	7050	0	10
2018.08.09	7.84632	7.84977	7.84573	7.84967	7299	0	12
2018.08.10	7.84968	7.84987	7.84484	7.84844	11644	0	12
2018.08.13	7.84820	7.84985	7.83716	7.84954	5982	0	13
2018.08.14	7.84954	7.84992	7.84492	7.84974	5874	0	13
2018.08.15	7.84973	7.84991	7.84758	7.84966	5807	0	13
2018.08.16	7.84966	7.84975	7.84739	7.84954	5889	0	12
2018.08.17	7.84954	7.84982	7.84714	7.84814	4648	0	13
2018.08.20	7.84931	7.84980	7.84111	7.84933	5453	0	12
2018.08.21	7.84940	7.84976	7.84710	7.84925	5743	0	11
2018.08.22	7.84759	7.84989	7.84754	7.84929	8475	0	13
2018.08.23	7.84754	7.84989	7.84582	7.84982	4650	0	12
2018.08.24	7.84969	7.84989	7.84641	7.84820	8211	0	13
2018.08.27	7.84835	7.84990	7.84404	7.84970	18717	0	12
2018.08.28	7.84786	7.84990	7.84708	7.84948	5086	0	12
2018.08.29	7.84805	7.84980	7.84542	7.84841	9368	0	11
2018.08.30	7.84671	7.84938	7.83635	7.84887	5209	0	13
2018.08.31	7.84887	7.84931	7.84703	7.84894	7235	0	12
2018.09.03	7.84881	7.84966	7.84800	7.84915	5450	0	11
2018.09.04	7.84915	7.84962	7.84716	7.84890	5559	0	12
2018.09.05	7.84894	7.84946	7.84865	7.84912	5432	0	12
2018.09.06	7.84722	7.84981	7.84722	7.84902	5490	0	12
